row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,288.324.842,152.008.417,288324842.0,152008417.0
Chi phí lương nhân viên,Chi phí bán hàng > Chi phí lương nhân viên,Chi phí lương nhân viên,15.493.345,22.660.977,15493345.0,22660977.0
Chi phí khấu hao và hao mòn,Chi phí bán hàng > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,2.412.294,1.794.026,2412294.0,1794026.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,2.626.378,15.982.795,2626378.0,15982795.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,308.856.859,192.446.215,308856859.0,192446215.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Phân bổ lợi thế thương mại,Chi phí quản lý doanh nghiệp > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,315.937.136,390.318.070,315937136.0,390318070.0
Chi phí lương nhân viên,Chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,152.029.212,144.510.009,152029212.0,144510009.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,72.024.456,44.248.405,72024456.0,44248405.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,75.578.113,21.272.492,75578113.0,21272492.0
Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,30.758.900,34.318.490,30758900.0,34318490.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,26.273.693,354.668.623,26273693.0,354668623.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,672.601.510,989.336.089,672601510.0,989336089.0
