row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Ngàn VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,920.339.356,1.130.795.710,,920339356.0,1130795710.0
Phải trả các công ty và cá nhân khác,Phải trả các công ty và cá nhân khác,Phải trả các công ty và cá nhân khác,(i),556.542.089,1.009.733.136,,556542089.0,1009733136.0
Phải trả tiền thuê đất,Phải trả tiền thuê đất,Phải trả tiền thuê đất,,69.533.695,78.988.748,,69533695.0,78988748.0
Phải trả hợp đồng hợp tác kinh doanh,Phải trả hợp đồng hợp tác kinh doanh,Phải trả hợp đồng hợp tác kinh doanh,(ii),36.000.000,-,,36000000.0,
Phải trả lãi hợp đồng hợp tác kinh doanh,Phải trả lãi hợp đồng hợp tác kinh doanh,Phải trả lãi hợp đồng hợp tác kinh doanh,,17.989.667,-,,17989667.0,
Phí báo trì căn hộ,Phí báo trì căn hộ,Phí báo trì căn hộ,,-,9.573.496,,,9573496.0
Các khoản khác,Các khoản khác,Các khoản khác,,240.273.905,32.500.330,,240273905.0,32500330.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Phải trả ngắn hạn các bên liên quan (TM số 34.2),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 34.2),Phải trả ngắn hạn các bên liên quan (TM số 34.2),,275.123.017,202.914.128,,275123017.0,202914128.0
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,,645.216.339,927.881.582,,645216339.0,927881582.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,Dài hạn,570.972.657,980.019.908,,570972657.0,980019908.0
Phải trả hợp đồng hợp tác kinh doanh,Trong đó: > Phải trả hợp đồng hợp tác kinh doanh,Phải trả hợp đồng hợp tác kinh doanh,(ii),285.000.000,835.000.000,,285000000.0,835000000.0
Tiền thuê đất phải trả,Trong đó: > Tiền thuê đất phải trả,Tiền thuê đất phải trả,,112.751.757,109.415.187,,112751757.0,109415187.0
Các khoản khác,Trong đó: > Các khoản khác,Các khoản khác,,173.220.900,35.604.721,,173220900.0,35604721.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Phải trả dài hạn các bên liên quan (TM số 34.2),Trong đó: > Phải trả dài hạn các bên liên quan (TM số 34.2),Phải trả dài hạn các bên liên quan (TM số 34.2),,285.000.000,844.725.774,,285000000.0,844725774.0
Phải trả dài hạn các bên khác,Trong đó: > Phải trả dài hạn các bên khác,Phải trả dài hạn các bên khác,,285.972.657,135.294.134,,285972657.0,135294134.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.491.312.013,2.110.815.618,,1491312013.0,2110815618.0
