row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014 (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014 (Trình bày lại)
A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,100,,1.499.852.332.752,2.500.398.499.953,100.0,,1499852332752.0,2500398499953.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,23.244.347.477,42.547.395.347,110.0,5.0,23244347477.0,42547395347.0
1. Tiền,1. Tiền,1. Tiền,111,,18.042.161.166,40.397.395.347,111.0,,18042161166.0,40397395347.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,5.202.186.311,2.150.000.000,112.0,,5202186311.0,2150000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,57.432.265.200,54.945.075.200,120.0,6.0,57432265200.0,54945075200.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,87.218.355.200,87.218.355.200,121.0,,87218355200.0,87218355200.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(33.786.090.000),(32.273.280.000),122.0,,-33786090000.0,-32273280000.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,,4.000.000.000,-,123.0,,4000000000.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.405.026.814.076,2.391.524.665.230,130.0,,1405026814076.0,2391524665230.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,164.140.467.778,218.242.070.077,131.0,7.0,164140467778.0,218242070077.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,8,267.897.950.432,352.383.211.748,132.0,8.0,267897950432.0,352383211748.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,9,1.324.133.804.339,1.329.293.704.339,135.0,9.0,1324133804339.0,1329293704339.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,10,880.426.067.996,914.374.709.337,136.0,10.0,880426067996.0,914374709337.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,11,(1.235.081.024.722),(426.277.278.524),137.0,11.0,-1235081024722.0,-426277278524.0
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,12,3.509.548.253,3.508.248.253,139.0,12.0,3509548253.0,3508248253.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,12.854.857.991,10.072.513.081,140.0,,12854857991.0,10072513081.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,13,12.854.857.991,10.072.513.081,141.0,13.0,12854857991.0,10072513081.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,1.294.048.008,1.308.851.095,150.0,,1294048008.0,1308851095.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,68.750.000,94.042.247,151.0,,68750000.0,94042247.0
2. Thuế và các khoản khác phải thu Nhà nước,2. Thuế và các khoản khác phải thu Nhà nước,2. Thuế và các khoản khác phải thu Nhà nước,153,22,1.225.298.008,1.214.808.848,153.0,22.0,1225298008.0,1214808848.0
