row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,2.930.866.841.178,3.437.943.880.175,200.0,,2930866841178.0,3437943880175.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.112.459.728.374,1.249.499.053.374,210.0,,1112459728374.0,1249499053374.0
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,8,1.181.459.728.374,1.249.499.053.374,212.0,8.0,1181459728374.0,1249499053374.0
2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,219,,(69.000.000.000),-,219.0,,-69000000000.0,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,2.646.871.765,3.551.789.581,220.0,,2646871765.0,3551789581.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,14,2.646.871.765,3.551.789.581,221.0,14.0,2646871765.0,3551789581.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,5.500.159.965,5.500.159.965,222.0,,5500159965.0,5500159965.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(2.853.288.200),(1.948.370.384),223.0,,-2853288200.0,-1948370384.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,,-,-,227.0,,,
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,216.000.000,216.000.000,228.0,,216000000.0,216000000.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(216.000.000),(216.000.000),229.0,,-216000000.0,-216000000.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,76.781.066.357,91.488.470.456,240.0,,76781066357.0,91488470456.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,15,76.781.066.357,91.488.470.456,242.0,15.0,76781066357.0,91488470456.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,1.389.993.519.530,1.734.959.225.845,250.0,,1389993519530.0,1734959225845.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,"6, 16",1.643.405.401.009,2.287.652.200.000,251.0,,1643405401009.0,2287652200000.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,"6,17",533.228.000.000,1.559.164.233.130,252.0,6.17,533228000000.0,1559164233130.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,6,31.491.200.000,31.491.200.000,253.0,6.0,31491200000.0,31491200000.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,6,(818.131.081.479),(2.143.348.407.285),254.0,6.0,-818131081479.0,-2143348407285.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,348.985.655.152,358.445.340.919,260.0,,348985655152.0,358445340919.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,18,348.985.655.152,358.445.340.919,261.0,18.0,348985655152.0,358445340919.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,4.430.719.173.930,5.938.342.380.128,270.0,,4430719173930.0,5938342380128.0
