row_label_raw,row_label_full,Đối tượng,31/12/2014 > Giá trị,31/12/2014 > Tăng,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,31/12/2015 > Giá trị,31/12/2015 > Giá trị_1,numeric__31/12/2014 > Giá trị,numeric__31/12/2014 > Tăng,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__31/12/2015 > Giá trị,numeric__31/12/2015 > Giá trị_1
Đối tượng,Đối tượng,Đối tượng,VND,VND,VND,VND,VND,VND,,,,,,
"Ngân hàng TMCP Quốc Dân (""NCB"") (i)","Đối tượng > Ngân hàng TMCP Quốc Dân (""NCB"") (i)","Ngân hàng TMCP Quốc Dân (""NCB"") (i)",449.988.280.000,-,-,-,449.988.280.000,449.988.280.000,449988280000.0,,,,449988280000.0,449988280000.0
Công ty Cổ phần Viptour-Togi (ii),Đối tượng > Công ty Cổ phần Viptour-Togi (ii),Công ty Cổ phần Viptour-Togi (ii),83.200.000.000,-,-,(45.289.000.000),37.911.000.000,37.911.000.000,83200000000.0,,,-45289000000.0,37911000000.0,37911000000.0
Công ty Cổ phần Đầu tư THT Việt Nam (iii),Đối tượng > Công ty Cổ phần Đầu tư THT Việt Nam (iii),Công ty Cổ phần Đầu tư THT Việt Nam (iii),17.500.000.000,-,-,-,17.500.000.000,17.500.000.000,17500000000.0,,,,17500000000.0,17500000000.0
Cộng,Đối tượng > Cộng,Cộng,550.688.280.000,-,-,(45.289.000.000),505.399.280.000,505.399.280.000,550688280000.0,,,-45289000000.0,505399280000.0,505399280000.0
