row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốcVND,31/12/2015 > Giá trị có thể thu hồiVND,31/12/2014 > Giá gốcVND,31/12/2014 > Giá trị có thể thu hồiVND,numeric__31/12/2015 > Giá gốcVND,numeric__31/12/2015 > Giá trị có thể thu hồiVND,numeric__31/12/2014 > Giá gốcVND,numeric__31/12/2014 > Giá trị có thể thu hồiVND
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,,,,
"Dự án ""Trung tâm Thương mại, Văn phòng vàKhách sạn"" tại TP Hạ Long, tỉnh Quảng Ninh (*)","Chi phí xây dựng cơ bản dở dang > Dự án ""Trung tâm Thương mại, Văn phòng vàKhách sạn"" tại TP Hạ Long, tỉnh Quảng Ninh (*)","Dự án ""Trung tâm Thương mại, Văn phòng vàKhách sạn"" tại TP Hạ Long, tỉnh Quảng Ninh (*)",45.557.400.919,45.557.400.919,36.638.660.427,36.638.660.427,45557400919.0,45557400919.0,36638660427.0,36638660427.0
"Dự án ""Tòa nhà Trung Yên""","Chi phí xây dựng cơ bản dở dang > Dự án ""Tòa nhà Trung Yên""","Dự án ""Tòa nhà Trung Yên""",-,-,7.505.312.250,7.505.312.250,,,7505312250.0,7505312250.0
"Dự án ""Hạ Đình"" (*)","Chi phí xây dựng cơ bản dở dang > Dự án ""Hạ Đình"" (*)","Dự án ""Hạ Đình"" (*)",9.385.970.381,9.385.970.381,9.378.492.376,9.378.492.376,9385970381.0,9385970381.0,9378492376.0,9378492376.0
"Dự án ""Oceanmart"" (*)","Chi phí xây dựng cơ bản dở dang > Dự án ""Oceanmart"" (*)","Dự án ""Oceanmart"" (*)",5.986.763.772,5.986.763.772,17.265.715.232,17.265.715.232,5986763772.0,5986763772.0,17265715232.0,17265715232.0
Dự án Licogi 19 (*),Chi phí xây dựng cơ bản dở dang > Dự án Licogi 19 (*),Dự án Licogi 19 (*),5.160.552.294,5.160.552.294,3.193.417.160,3.193.417.160,5160552294.0,5160552294.0,3193417160.0,3193417160.0
Dự án Lê Văn Lương,Chi phí xây dựng cơ bản dở dang > Dự án Lê Văn Lương,Dự án Lê Văn Lương,225.660.488,225.660.488,5.556.238.177,5.556.238.177,225660488.0,225660488.0,5556238177.0,5556238177.0
Dự án VNT - Penhouse,Chi phí xây dựng cơ bản dở dang > Dự án VNT - Penhouse,Dự án VNT - Penhouse,-,-,2.921.763.248,2.921.763.248,,,2921763248.0,2921763248.0
Dự án khác,Chi phí xây dựng cơ bản dở dang > Dự án khác,Dự án khác,10.464.718.503,10.464.718.503,9.028.871.586,9.028.871.586,10464718503.0,10464718503.0,9028871586.0,9028871586.0
Cộng,Chi phí xây dựng cơ bản dở dang > Cộng,Cộng,76.781.066.357,76.781.066.357,91.488.470.456,91.488.470.456,76781066357.0,76781066357.0,91488470456.0,91488470456.0
