row_label_raw,row_label_full,col_0,2015 > Số năm,numeric__2015 > Số năm
"Phương tiện vận tải, thiết bị truyền dẫn","Phương tiện vận tải, thiết bị truyền dẫn","Phương tiện vận tải, thiết bị truyền dẫn",8,8.0
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3,3.0
Tài sản cố định khác,Tài sản cố định khác,Tài sản cố định khác,3,3.0
