row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2015VND,Giá trị ghi sổ > 31/12/2014VND,numeric__Giá trị ghi sổ > 31/12/2015VND,numeric__Giá trị ghi sổ > 31/12/2014VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,23.244.347.477,42.547.395.347,23244347477.0,42547395347.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.109.126.563.645,2.013.528.353.483,1109126563645.0,2013528353483.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,88.923.465.200,86.436.275.200,88923465200.0,86436275200.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,1.221.294.376.322,2.142.512.024.030,1221294376322.0,2142512024030.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,505.399.280.000,1.400.688.280.000,505399280000.0,1400688280000.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,696.292.988.138,1.495.565.440.486,696292988138.0,1495565440486.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,124.914.499.266,118.535.617.263,124914499266.0,118535617263.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,1.326.606.767.404,3.014.789.337.749,1326606767404.0,3014789337749.0
