row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển (trình bày lại) VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối/(lỗ lũy kế) VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển (trình bày lại) VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối/(lỗ lũy kế) VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2014 như được trình bày năm trước,Số dư tại ngày 01/01/2014 như được trình bày năm trước,Số dư tại ngày 01/01/2014 như được trình bày năm trước,3.000.000.000.000,1.286.825.482,(10.000),59.118.616.446,9.428.941.827,208.331.137.254,3.278.165.511.009,3000000000000.0,1286825482.0,-10000.0,59118616446.0,9428941827.0,208331137254.0,3278165511009.0
Áp dụng chính sách kế toán mới,Áp dụng chính sách kế toán mới,Áp dụng chính sách kế toán mới,-,-,-,37.949.557.380,-,(104.934.383.396),(66.984.826.016),,,,37949557380.0,,-104934383396.0,-66984826016.0
Số dư tại ngày 01/01/2014 như được trình bày lại,Số dư tại ngày 01/01/2014 như được trình bày lại,Số dư tại ngày 01/01/2014 như được trình bày lại,3.000.000.000.000,1.286.825.482,(10.000),97.068.173.826,9.428.941.827,103.396.753.858,3.211.180.684.993,3000000000000.0,1286825482.0,-10000.0,97068173826.0,9428941827.0,103396753858.0,3211180684993.0
(Lỗ) trong năm,(Lỗ) trong năm,(Lỗ) trong năm,-,-,-,-,-,(2.239.607.438.740),(2.239.607.438.740),,,,,,-2239607438740.0,-2239607438740.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,2.803.002.918,1.401.501.459,(4.204.504.377),-,,,,2803002918.0,1401501459.0,-4204504377.0,
"Trích quỹ khen thưởng, phúc lợi và quỹ thưởng ban điều hành","Trích quỹ khen thưởng, phúc lợi và quỹ thưởng ban điều hành","Trích quỹ khen thưởng, phúc lợi và quỹ thưởng ban điều hành",-,-,-,-,-,(2.162.100.000),(2.162.100.000),,,,,,-2162100000.0,-2162100000.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,-,(75.000.000.000),(75.000.000.000),,,,,,-75000000000.0,-75000000000.0
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,3.000.000.000.000,1.286.825.482,(10.000),99.871.176.744,10.830.443.286,(2.217.577.289.259),894.411.146.253,3000000000000.0,1286825482.0,-10000.0,99871176744.0,10830443286.0,-2217577289259.0,894411146253.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,-,713.788.392.454,713.788.392.454,,,,,,713788392454.0,713788392454.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,3.000.000.000.000,1.286.825.482,(10.000),99.871.176.744,10.830.443.286,(1.503.788.896.805),1.608.199.538.707,3000000000000.0,1286825482.0,-10000.0,99871176744.0,10830443286.0,-1503788896805.0,1608199538707.0
