row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2015,31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,2.822.519.635.223,5.043.931.233.875,300.0,,2822519635223.0,5043931233875.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,1.765.872.672.139,2.619.969.137.260,310.0,,1765872672139.0,2619969137260.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,19,27.804.883.526,85.869.954.504,311.0,19.0,27804883526.0,85869954504.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,20,426.034.520.948,496.878.444.652,312.0,20.0,426034520948.0,496878444652.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,22,4.125.719.050,11.444.771.174,313.0,22.0,4125719050.0,11444771174.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,1.053.598.849,6.675.597.689,314.0,,1053598849.0,6675597689.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,23,124.914.499.266,118.535.617.263,315.0,23.0,124914499266.0,118535617263.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,25,7.679.637.028,7.679.637.028,318.0,25.0,7679637028.0,7679637028.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,24,668.488.104.612,1.341.435.394.990,319.0,24.0,668488104612.0,1341435394990.0
8. Vay và nợ ngắn hạn,8. Vay và nợ ngắn hạn,8. Vay và nợ ngắn hạn,320,21,505.399.280.000,550.688.280.000,320.0,21.0,505399280000.0,550688280000.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,,372.428.860,761.439.960,322.0,,372428860.0,761439960.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,1.056.646.963.084,2.423.962.096.615,330.0,,1056646963084.0,2423962096615.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,336,25,321.738.296.511,329.504.029.743,336.0,25.0,321738296511.0,329504029743.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,337,24,734.908.666.573,1.244.458.066.872,337.0,24.0,734908666573.0,1244458066872.0
3. Vay và nợ dài hạn,3. Vay và nợ dài hạn,3. Vay và nợ dài hạn,338,26,-,850.000.000.000,338.0,26.0,,850000000000.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,1.608.199.538.707,894.411.146.253,400.0,,1608199538707.0,894411146253.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,27,1.608.199.538.707,894.411.146.253,410.0,27.0,1608199538707.0,894411146253.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,3.000.000.000.000,3.000.000.000.000,411.0,,3000000000000.0,3000000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
2. Vốn khác của chủ sở hữu,2. Vốn khác của chủ sở hữu,2. Vốn khác của chủ sở hữu,414,,1.286.825.482,1.286.825.482,414.0,,1286825482.0,1286825482.0
3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,415,,(10.000),(10.000),415.0,,-10000.0,-10000.0
4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,418,,99.871.176.744,99.871.176.744,418.0,,99871176744.0,99871176744.0
5. Quỹ khác thuộc vốn chủ sở hữu,5. Quỹ khác thuộc vốn chủ sở hữu,5. Quỹ khác thuộc vốn chủ sở hữu,420,,10.830.443.286,10.830.443.286,420.0,,10830443286.0,10830443286.0
6. (Lỗ) lũy kế,6. (Lỗ) lũy kế,6. (Lỗ) lũy kế,421,,(1.503.788.896.805),(2.217.577.289.259),421.0,,-1503788896805.0,-2217577289259.0
- (Lỗ) lũy kế/Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- (Lỗ) lũy kế/Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- (Lỗ) lũy kế/Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,(2.217.577.289.259),22.030.149.481,,,-2217577289259.0,22030149481.0
- Lợi nhuận sau thuế chưa phân phối/(Lỗ) năm nay,- Lợi nhuận sau thuế chưa phân phối/(Lỗ) năm nay,- Lợi nhuận sau thuế chưa phân phối/(Lỗ) năm nay,421b,,713.788.392.454,(2.239.607.438.740),,,713788392454.0,-2239607438740.0
