row_label_raw,row_label_full,Tên chỉ tiêu,Mã số,31/12/2014,Tên chỉ tiêu_1,Mã số_1,31/12/2014_1,numeric__Mã số,numeric__31/12/2014,numeric__Tên chỉ tiêu_1,numeric__Mã số_1,numeric__31/12/2014_1
III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,1.092.074.454.071,1. Doanh thu bán hàng và cung cấp dịch vụ,01,924.556.108.345 Trinh bày lại,1.0,1092074454071.0,,1.0,
2. Giá vốn hàng bán và dịch vụ cung cấp,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 2. Giá vốn hàng bán và dịch vụ cung cấp,2. Giá vốn hàng bán và dịch vụ cung cấp,11,888.104.181.440,2. Giá vốn hàng bán và dịch vụ cung cấp,11,868.782.120.412 Trinh bày lại,11.0,888104181440.0,,11.0,
3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,170.078.794.751,3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,21.882.510.053 Trinh bày lại,20.0,170078794751.0,,20.0,
4. Lợi nhuận thuần từ hoạt động kinh doanh,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 4. Lợi nhuận thuần từ hoạt động kinh doanh,4. Lợi nhuận thuần từ hoạt động kinh doanh,30,(1.794.426.104.231),4. Lợi nhuận/(Lỗ) thuần từ hoạt động kinh doanh,30,(1.942.622.388.929) Trinh bày lại,30.0,-1794426104231.0,,30.0,
5. Tổng lợi nhuận kế toán trước thuế,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 5. Tổng lợi nhuận kế toán trước thuế,5. Tổng lợi nhuận kế toán trước thuế,50,(2.090.461.034.109),5. Tổng lợi nhuận kế toán trước thuế,50,(2.238.657.318.807) Trinh bày lại,50.0,-2090461034109.0,,50.0,
6. Lợi nhuận sau thuế thu nhập doanh nghiệp,III. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 6. Lợi nhuận sau thuế thu nhập doanh nghiệp,6. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,(2.091.411.154.042),6. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,(2.239.607.438.740) Trinh bày lại,60.0,-2091411154042.0,,60.0,
IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ,,,,,
1. Lợi nhuận/(Lỗ) trước thuế,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ > 1. Lợi nhuận/(Lỗ) trước thuế,1. Lợi nhuận/(Lỗ) trước thuế,01,(2.090.461.034.109),1. Lợi nhuận/(Lỗ) trước thuế,01,(2.238.657.318.807) Trinh bày lại,1.0,-2090461034109.0,,1.0,
2. (Tăng)/giảm các khoản phải thu,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ > 2. (Tăng)/giảm các khoản phải thu,2. (Tăng)/giảm các khoản phải thu,09,(278.879.226.464),2. (Tăng)/giảm các khoản phải thu,09,(47.081.373.130) Trinh bày lại,9.0,-278879226464.0,,9.0,
3. (Tăng)/giảm chi phí trả trước,IV. BÁO CÁO LƯU CHUYÊN TIỀN TỆ > 3. (Tăng)/giảm chi phí trả trước,3. (Tăng)/giảm chi phí trả trước,12,(140.548.238.259),3. (Tăng)/giảm chi phí trả trước,12,(224.149.806.895) Trinh bày lại,12.0,-140548238259.0,,12.0,
