row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốcVND,31/12/2015 > Giá trị sau dự phòngVND,31/12/2014 > Giá gốcVND,31/12/2014 > Giá trị sau dự phòngVND,numeric__31/12/2015 > Giá gốcVND,numeric__31/12/2015 > Giá trị sau dự phòngVND,numeric__31/12/2014 > Giá gốcVND,numeric__31/12/2014 > Giá trị sau dự phòngVND
"a. Phải thu khách hàng, phải thu khác ngắn hạn","a. Phải thu khách hàng, phải thu khác ngắn hạn","a. Phải thu khách hàng, phải thu khác ngắn hạn","a. Phải thu khách hàng, phải thu khác ngắn hạn","a. Phải thu khách hàng, phải thu khác ngắn hạn","a. Phải thu khách hàng, phải thu khác ngắn hạn","a. Phải thu khách hàng, phải thu khác ngắn hạn",,,,
"Phải thu, cho vay có khả năng thu hồi","a. Phải thu khách hàng, phải thu khác ngắn hạn > Phải thu, cho vay có khả năng thu hồi","Phải thu, cho vay có khả năng thu hồi",377.559.606.471,377.559.606.471,2.337.858.849.095,2.337.858.849.095,377559606471.0,377559606471.0,2337858849095.0,2337858849095.0
"Phải thu, cho vay khó có khả năng thu hồi","a. Phải thu khách hàng, phải thu khác ngắn hạn > Phải thu, cho vay khó có khả năng thu hồi","Phải thu, cho vay khó có khả năng thu hồi",2.259.038.684.074,1.023.957.659.352,476.434.846.406,50.157.567.882,2259038684074.0,1023957659352.0,476434846406.0,50157567882.0
- Số dư công nợ trích lập 30%,"a. Phải thu khách hàng, phải thu khác ngắn hạn > - Số dư công nợ trích lập 30%",- Số dư công nợ trích lập 30%,106.489.933.990,74.542.953.793,34.777.906.511,24.344.534.558,106489933990.0,74542953793.0,34777906511.0,24344534558.0
- Số dư công nợ trích lập 50%,"a. Phải thu khách hàng, phải thu khác ngắn hạn > - Số dư công nợ trích lập 50%",- Số dư công nợ trích lập 50%,455.615.750.769,227.807.875.385,34.926.288.487,17.463.144.244,455615750769.0,227807875385.0,34926288487.0,17463144244.0
- Số dư công nợ trích lập 70%,"a. Phải thu khách hàng, phải thu khác ngắn hạn > - Số dư công nợ trích lập 70%",- Số dư công nợ trích lập 70%,18.666.295.602,5.599.888.681,27.832.963.601,8.349.889.080,18666295602.0,5599888681.0,27832963601.0,8349889080.0
- Số dư công nợ trích lập 100%,"a. Phải thu khách hàng, phải thu khác ngắn hạn > - Số dư công nợ trích lập 100%",- Số dư công nợ trích lập 100%,568.024.802.140,-,378.897.687.807,-,568024802140.0,,378897687807.0,
- Số dư công nợ trích lập tỷ lệ khác,"a. Phải thu khách hàng, phải thu khác ngắn hạn > - Số dư công nợ trích lập tỷ lệ khác",- Số dư công nợ trích lập tỷ lệ khác,1.110.241.901.573,716.006.941.493,-,-,1110241901573.0,716006941493.0,,
Tổng,"a. Phải thu khách hàng, phải thu khác ngắn hạn > Tổng",Tổng,2.636.598.290.545,1.401.517.265.823,2.814.293.695.501,2.388.016.416.977,2636598290545.0,1401517265823.0,2814293695501.0,2388016416977.0
"b. Phải thu khách hàng, phải thu khác dài hạn","b. Phải thu khách hàng, phải thu khác dài hạn","b. Phải thu khách hàng, phải thu khác dài hạn","b. Phải thu khách hàng, phải thu khác dài hạn","b. Phải thu khách hàng, phải thu khác dài hạn","b. Phải thu khách hàng, phải thu khác dài hạn","b. Phải thu khách hàng, phải thu khác dài hạn",,,,
"Phải thu, cho vay có khả năng thu hồi","b. Phải thu khách hàng, phải thu khác dài hạn > Phải thu, cho vay có khả năng thu hồi","Phải thu, cho vay có khả năng thu hồi",731.459.728.374,731.459.728.374,1.249.499.053.374,1.249.499.053.374,731459728374.0,731459728374.0,1249499053374.0,1249499053374.0
"Phải thu, cho vay khó có khả năng thu hồi","b. Phải thu khách hàng, phải thu khác dài hạn > Phải thu, cho vay khó có khả năng thu hồi","Phải thu, cho vay khó có khả năng thu hồi",450.000.000.000,381.000.000.000,-,-,450000000000.0,381000000000.0,,
- Số dư công nợ trích lập tỷ lệ khác,"b. Phải thu khách hàng, phải thu khác dài hạn > - Số dư công nợ trích lập tỷ lệ khác",- Số dư công nợ trích lập tỷ lệ khác,450.000.000.000,381.000.000.000,-,-,450000000000.0,381000000000.0,,
Tổng,"b. Phải thu khách hàng, phải thu khác dài hạn > Tổng",Tổng,1.181.459.728.374,1.112.459.728.374,1.249.499.053.374,1.249.499.053.374,1181459728374.0,1112459728374.0,1249499053374.0,1249499053374.0
