row_label_raw,row_label_full,col_0,2015,2014,numeric__2015,numeric__2014
Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,VND,VND,,
Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),Doanh thu bán hàng hóa và cung cấp dịch vụ > Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),188.795.715,24.329.763.534,188795715.0,24329763534.0
Công ty CP Kem Tràng Tiền,Doanh thu bán hàng hóa và cung cấp dịch vụ > Công ty CP Kem Tràng Tiền,Công ty CP Kem Tràng Tiền,136.363.636,102.272.727,136363636.0,102272727.0
Cổ tức được nhận trong năm,Cổ tức được nhận trong năm,Cổ tức được nhận trong năm,Cổ tức được nhận trong năm,Cổ tức được nhận trong năm,,
Công ty CP Máy tính và Truyền thông Việt Nam,Cổ tức được nhận trong năm > Công ty CP Máy tính và Truyền thông Việt Nam,Công ty CP Máy tính và Truyền thông Việt Nam,688.870.000,1.033.305.000,688870000.0,1033305000.0
Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,,
Công ty TNHH VNT,Lãi từ hợp đồng hợp tác đầu tư > Công ty TNHH VNT,Công ty TNHH VNT,12.669.670.019,13.299.660.881,12669670019.0,13299660881.0
Mua hàng,Mua hàng,Mua hàng,Mua hàng,Mua hàng,,
Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),Mua hàng > Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),2.623.156.499,8.934.958.961,2623156499.0,8934958961.0
Công ty cổ phần truyền thông Đại Dương,Mua hàng > Công ty cổ phần truyền thông Đại Dương,Công ty cổ phần truyền thông Đại Dương,-,1.711.007.772,,1711007772.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,,
Công ty Cổ phần Đầu Tư THT Việt Nam,Chi phí lãi vay > Công ty Cổ phần Đầu Tư THT Việt Nam,Công ty Cổ phần Đầu Tư THT Việt Nam,1.506.283.335,2.082.499.998,1506283335.0,2082499998.0
Công ty Cổ phần Đầu tư Đại Dương Thăng Long,Chi phí lãi vay > Công ty Cổ phần Đầu tư Đại Dương Thăng Long,Công ty Cổ phần Đầu tư Đại Dương Thăng Long,69.373.087.821,-,69373087821.0,
Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),Chi phí lãi vay > Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (OCH),-,3.808.500.000,,3808500000.0
Công ty CP Viptour - TOGI,Chi phí lãi vay > Công ty CP Viptour - TOGI,Công ty CP Viptour - TOGI,-,5.999.477.778,,5999477778.0
Thu nhập Ban Giám đốc,Thu nhập Ban Giám đốc,Thu nhập Ban Giám đốc,Thu nhập Ban Giám đốc,Thu nhập Ban Giám đốc,,
"Lương, thường và các khoản phúc lợi khác","Thu nhập Ban Giám đốc > Lương, thường và các khoản phúc lợi khác","Lương, thường và các khoản phúc lợi khác",3.593.533.300,3.942.718.400,3593533300.0,3942718400.0
