row_label_raw,row_label_full,col_0,Tăng/(Giảm) số điểm cơ bản,Ảnh hưởng đến lợi nhuận/(lỗ) trước thuế,numeric__Tăng/(Giảm) số điểm cơ bản,numeric__Ảnh hưởng đến lợi nhuận/(lỗ) trước thuế
,,,Tăng/(Giảm) số điểm cơ bản,VND,,
Cho năm tài chính kết thúc ngày 31/12/2015,Cho năm tài chính kết thúc ngày 31/12/2015,Cho năm tài chính kết thúc ngày 31/12/2015,Cho năm tài chính kết thúc ngày 31/12/2015,Cho năm tài chính kết thúc ngày 31/12/2015,,
VND,Cho năm tài chính kết thúc ngày 31/12/2015 > VND,VND,+200,(10.107.985.600),200.0,-10107985600.0
VND,Cho năm tài chính kết thúc ngày 31/12/2015 > VND,VND,-200,10.107.985.600,-200.0,10107985600.0
Cho năm tài chính kết thúc ngày 31/12/2014,Cho năm tài chính kết thúc ngày 31/12/2014,Cho năm tài chính kết thúc ngày 31/12/2014,Cho năm tài chính kết thúc ngày 31/12/2014,Cho năm tài chính kết thúc ngày 31/12/2014,,
VND,Cho năm tài chính kết thúc ngày 31/12/2014 > VND,VND,+200,(8.999.765.600),200.0,-8999765600.0
VND,Cho năm tài chính kết thúc ngày 31/12/2014 > VND,VND,-200,8.999.765.600,-200.0,8999765600.0
