row_label_raw,row_label_full,CHỈ TIÊU,Mã số,2015,2014(Trình bày lại),numeric__Mã số,numeric__2015,numeric__2014(Trình bày lại)
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. (Lỗ)/Lợi nhuận trước thuế,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. (Lỗ)/Lợi nhuận trước thuế,1. (Lỗ)/Lợi nhuận trước thuế,01,713.788.392.454,(2.238.657.318.807),1.0,713788392454.0,-2238657318807.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
Khấu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,904.917.816,907.469.250,2.0,904917816.0,907469250.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,522.463.463.522,2.515.122.045.471,3.0,522463463522.0,2515122045471.0
(Lãi) từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,(1.596.969.073.284),(784.405.375.760),5.0,-1596969073284.0,-784405375760.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,139.617.693.562,157.447.531.289,6.0,139617693562.0,157447531289.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốnlưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốnlưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốnlưu động,08,(220.194.605.930),(349.585.648.557),8.0,-220194605930.0,-349585648557.0
Giảm/(Tăng) các khoản phải thu,2. Điều chỉnh cho các khoản: > Giảm/(Tăng) các khoản phải thu,Giảm/(Tăng) các khoản phải thu,09,234.076.168.595,(47.081.373.130),9.0,234076168595.0,-47081373130.0
Giảm/(Tăng) hàng tồn kho,2. Điều chỉnh cho các khoản: > Giảm/(Tăng) hàng tồn kho,Giảm/(Tăng) hàng tồn kho,10,1.037.841.685,(583.456.105),10.0,1037841685.0,-583456105.0
"(Giảm)/Tăng các khoản phải trả (Không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > (Giảm)/Tăng các khoản phải trả (Không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)","(Giảm)/Tăng các khoản phải trả (Không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)",11,(830.074.636.923),1.104.026.326.951,11.0,-830074636923.0,1104026326951.0
Giảm/(Tăng) chi phí trả trước,2. Điều chỉnh cho các khoản: > Giảm/(Tăng) chi phí trả trước,Giảm/(Tăng) chi phí trả trước,12,9.459.685.767,(224.149.806.895),12.0,9459685767.0,-224149806895.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(146.130.993.377),(129.773.727.210),14.0,-146130993377.0,-129773727210.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,-,(32.394.138.920),15.0,,-32394138920.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,-,459.906.035.910,16.0,,459906035910.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(163.508.222.740),(1.323.329.283.981),17.0,-163508222740.0,-1323329283981.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(1.115.334.762.923),(542.965.071.937),20.0,-1115334762923.0,-542965071937.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
