row_label_raw,row_label_full,31/12/2015,Dưới 1 năm > VND,Từ 1-5 năm > VND,Tổng > VND,numeric__Dưới 1 năm > VND,numeric__Từ 1-5 năm > VND,numeric__Tổng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,23.244.347.477,-,23.244.347.477,23244347477.0,,23244347477.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,57.432.265.200,31.491.200.000,88.923.465.200,57432265200.0,31491200000.0,88923465200.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.109.126.563.645,-,1.109.126.563.645,1109126563645.0,,1109126563645.0
Tổng cộng,Tổng cộng,Tổng cộng,1.189.803.176.322,31.491.200.000,1.221.294.376.322,1189803176322.0,31491200000.0,1221294376322.0
31/12/2015,31/12/2015,31/12/2015,Dưới 1 năm,Từ 1-5 năm,Tổng,,,
31/12/2015,31/12/2015,31/12/2015,VND,VND,VND,,,
Các khoản vay,31/12/2015 > Các khoản vay,Các khoản vay,505.399.280.000,-,505.399.280.000,505399280000.0,,505399280000.0
Phải trả người bán và phải trả khác,31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,696.292.988.138,-,696.292.988.138,696292988138.0,,696292988138.0
Chi phí phải trả,31/12/2015 > Chi phí phải trả,Chi phí phải trả,124.914.499.266,-,124.914.499.266,124914499266.0,,124914499266.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,1.326.606.767.404,-,1.326.606.767.404,1326606767404.0,,1326606767404.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(136.803.591.082),31.491.200.000,(105.312.391.082),-136803591082.0,31491200000.0,-105312391082.0
31/12/2014,31/12/2014,31/12/2014,Dưới 1 năm,Từ 1-5 năm,Tổng,,,
31/12/2014,31/12/2014,31/12/2014,VND,VND,VND,,,
Tiền và các khoản tương đương tiền,31/12/2014 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,42.547.395.347,-,42.547.395.347,42547395347.0,,42547395347.0
Phải thu khách hàng và phải thu khác,31/12/2014 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,2.013.528.353.483,-,2.013.528.353.483,2013528353483.0,,2013528353483.0
Đầu tư tài chính,31/12/2014 > Đầu tư tài chính,Đầu tư tài chính,54.945.075.200,31.491.200.000,86.436.275.200,54945075200.0,31491200000.0,86436275200.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,2.111.020.824.030,31.491.200.000,2.142.512.024.030,2111020824030.0,31491200000.0,2142512024030.0
31/12/2014,31/12/2014,31/12/2014,Dưới 1 năm,Từ 1-5 năm,Tổng,,,
31/12/2014,31/12/2014,31/12/2014,VND,VND,VND,,,
Các khoản vay,31/12/2014 > Các khoản vay,Các khoản vay,550.688.280.000,850.000.000.000,1.400.688.280.000,550688280000.0,850000000000.0,1400688280000.0
Phải trả người bán và phải trả khác,31/12/2014 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.495.565.440.486,-,1.495.565.440.486,1495565440486.0,,1495565440486.0
Chi phí phải trả,31/12/2014 > Chi phí phải trả,Chi phí phải trả,118.535.617.263,-,118.535.617.263,118535617263.0,,118535617263.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,2.164.789.337.749,850.000.000.000,3.014.789.337.749,2164789337749.0,850000000000.0,3014789337749.0
Chênh lệch thanh khoản thuần,31/12/2014 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(53.768.513.719),(818.508.800.000),(872.277.313.719),-53768513719.0,-818508800000.0,-872277313719.0
