row_label_raw,row_label_full,Đối tượng,31/12/2014 > Giá trị,31/12/2014 > Tăng,Phát sinh trong năm > Giảm,Phát sinh trong năm > Giá trị,31/12/2015,numeric__31/12/2014 > Giá trị,numeric__31/12/2014 > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Phát sinh trong năm > Giá trị,numeric__31/12/2015
,,,VND,VND,VND,VND,,,,,,
Công ty Cổ phần Đầu tư Đại Dương Thăng Long,Công ty Cổ phần Đầu tư Đại Dương Thăng Long,Công ty Cổ phần Đầu tư Đại Dương Thăng Long,850.000.000.000,-,(850.000.000.000),-,,850000000000.0,,-850000000000.0,,
Cộng,Cộng,Cộng,850.000.000.000,-,(850.000.000.000),-,,850000000000.0,,-850000000000.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,-,,,,,,,,,
Số phải trả sau 12 tháng,Số phải trả trong vòng 12 tháng > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,850.000.000.000,,,,,850000000000.0,,,,
