row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,2015,2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014(Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,29,144.473.322.859,924.556.108.345,1.0,29.0,144473322859.0,924556108345.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,29,-,33.891.477.880,2.0,29.0,,33891477880.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,144.473.322.859,890.664.630.465,10.0,,144473322859.0,890664630465.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,30,98.292.481.214,868.782.120.412,11.0,30.0,98292481214.0,868782120412.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,46.180.841.645,21.882.510.053,20.0,,46180841645.0,21882510053.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,1.642.212.805.974,839.861.515.478,21.0,31.0,1642212805974.0,839861515478.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,(126.760.657.844),2.578.014.401.767,22.0,32.0,-126760657844.0,2578014401767.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,139.617.693.562,157.447.531.289,23.0,,139617693562.0,157447531289.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,34,3.726.165.825,35.563.283.176,25.0,34.0,3726165825.0,35563283176.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,34,906.701.330.369,190.788.729.517,26.0,34.0,906701330369.0,190788729517.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,904.726.809.269,(1.942.622.388.929),30.0,,904726809269.0,-1942622388929.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,190.840.578,3.107.743.331,31.0,,190840578.0,3107743331.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,33,191.129.257.393,299.142.673.209,32.0,33.0,191129257393.0,299142673209.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,(190.938.416.815),(296.034.929.878),40.0,,-190938416815.0,-296034929878.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,713.788.392.454,(2.238.657.318.807),50.0,,713788392454.0,-2238657318807.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,-,-,51.0,35.0,,
16. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,950.119.933,52.0,,,950119933.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,713.788.392.454,(2.239.607.438.740),60.0,,713788392454.0,-2239607438740.0
