row_label_raw,row_label_full,Công ty liên kết,Nơi thành lập,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết nắm giữ (%),Hoạt động chính,numeric__Nơi thành lập,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết nắm giữ (%),numeric__Hoạt động chính
Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Hà Nội,"37,5%",21%,Kinh doanh chứng khoán,,0.375,0.21,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Bắc Ninh,21%,"37,5%","Xây dựng công trình đường sắt, đường bộ",,0.21,0.375,
