row_label_raw,row_label_full,STT,Tên công ty,Nơi thành lập,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết nắm giữ (%),Hoạt động chính,numeric__Tên công ty,numeric__Nơi thành lập,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết nắm giữ (%),numeric__Hoạt động chính
1,1,1,Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương,Hải Dương,"55,53","55,53",Kinh doanh khách sạn,,,55.53,55.53,
2,2,2,Công ty Cổ phần Đầu tư Đại Dương Thăng Long,Hà Nội,94,99.9,"Xây dựng, kinh doanh bất động sản",,,94.0,999.0,
3,3,3,Công ty Cổ phần Đầu tư THT Việt Nam (i),Hà Nội,65,70,Xây dựng,,,65.0,70.0,
4,4,4,Công ty Cổ phần Phát triển Tài nguyên thiên nhiên Đại Dương,Hà Nội,69,69,"Trồng rừng và chăm sóc rừng, khai thác gỗ, sản xuất đồ gỗ",,,69.0,69.0,
5,5,5,Công ty Cổ phần Sàn giao dịch hàng hóa INFO,Hà Nội,85,85,Sàn giao dịch hàng hóa,,,85.0,85.0,
6,6,6,Công ty Cổ phần Kinh doanh Bất động sản TKD Việt Nam (ii),Hà Nội,"98,7","98,7","Xây dựng, kinh doanh bất động sản",,,98.7,98.7,
