row_label_raw,row_label_full,col_0,2015,2014,numeric__2015,numeric__2014
,,,VND,VND,,
Lợi nhuận/(Lỗ)trước thuế,Lợi nhuận/(Lỗ)trước thuế,Lợi nhuận/(Lỗ)trước thuế,713.788.392.454,(2.239.607.438.740),713788392454.0,-2239607438740.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,167.651.674.648,(318.707.903.129),167651674648.0,-318707903129.0
Hoạt động kinh doanh chính và hoạt động khác,Hoạt động kinh doanh chính và hoạt động khác,Hoạt động kinh doanh chính và hoạt động khác,(881.440.067.102),(1.920.899.535.611),-881440067102.0,-1920899535611.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,(713.788.392.454),973.502.429.740,-713788392454.0,973502429740.0
Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,(15.650.496.278),(5.352.031.970),-15650496278.0,-5352031970.0
Trừ: Chi phí chưa được khấu trừ năm ngoài chuyển thành được khấu trừ trong năm,Trừ: Chi phí chưa được khấu trừ năm ngoài chuyển thành được khấu trừ trong năm,Trừ: Chi phí chưa được khấu trừ năm ngoài chuyển thành được khấu trừ trong năm,(189.813.660.955),-,-189813660955.0,
Cộng: Các khoản chi phí không được khấu trừ (i),Cộng: Các khoản chi phí không được khấu trừ (i),Cộng: Các khoản chi phí không được khấu trừ (i),629.408.478.913,978.854.461.710,629408478913.0,978854461710.0
Chuyển lỗ (ii),Chuyển lỗ (ii),Chuyển lỗ (ii),(1.137.732.714.134),,-1137732714134.0,
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,-,-,,
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,-,-,,
