row_label_raw,row_label_full,Theo Quyết định số 15/2006/QĐ-BTC > Tên chỉ tiêuI. TÀI SẢN,Theo Quyết định số 15/2006/QĐ-BTC > Mã số,Theo Quyết định số 15/2006/QĐ-BTC > 31/12/2014,Theo Thông tư số 200/2014/TT-BTC > Tên chỉ tiêuI. TÀI SẢN,Theo Thông tư số 200/2014/TT-BTC > Mã số,Thay đổi > 31/12/2014,numeric__Theo Quyết định số 15/2006/QĐ-BTC > Mã số,numeric__Theo Quyết định số 15/2006/QĐ-BTC > 31/12/2014,numeric__Theo Thông tư số 200/2014/TT-BTC > Tên chỉ tiêuI. TÀI SẢN,numeric__Theo Thông tư số 200/2014/TT-BTC > Mã số,numeric__Thay đổi > 31/12/2014
1. Đầu tư ngắn hạn,1. Đầu tư ngắn hạn,1. Đầu tư ngắn hạn,121,1.688.479.309.539,1. Chứng khoán kinh doanh,121,87.218.355.200 Trình bày lại và đối tên,121.0,1688479309539.0,,121.0,
2. Dự phòng giảm giá đầu tư ngắn hạn,2. Dự phòng giảm giá đầu tư ngắn hạn,2. Dự phòng giảm giá đầu tư ngắn hạn,129,(302.423.280.000),2. Dự phòng giảm giá chứng khoán kinh doanh,122,(32.273.280.000) Trình bày lại và đối tên,129.0,-302423280000.0,,122.0,
3. Không có chỉ tiêu tương ứng,3. Không có chỉ tiêu tương ứng,3. Không có chỉ tiêu tương ứng,,-,3. Đầu tư nắm giữ đến ngày đáo hạn,123,- Trình bày lại và đối tên,,,,123.0,
4. Trà trước cho người bán,4. Trà trước cho người bán,4. Trà trước cho người bán,132,419.094.278.505,4. Trà trước cho người bán ngắn hạn,132,352.383.211.748 Trình bày lại và đối tên,132.0,419094278505.0,,132.0,
5. Không có chỉ tiêu tương ứng,5. Không có chỉ tiêu tương ứng,5. Không có chỉ tiêu tương ứng,,-,5. Phải thu về cho vay ngắn hạn,135,1.329.293.704.339 Trình bày lại và đối tên,,,,135.0,
6. Các khoản phải thu khác,6. Các khoản phải thu khác,6. Các khoản phải thu khác,135,343.163.040.599,6. Phải thu ngắn hạn khác,136,914.374.709.337 Trình bày lại và đối tên,135.0,343163040599.0,,136.0,
7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,139,(156.127.278.524),7. Dự phòng phải thu ngắn hạn khó đòi,137,(426.277.278.524) Trình bày lại và đối tên,139.0,-156127278524.0,,137.0,
8. Không có chỉ tiêu tương ứng,8. Không có chỉ tiêu tương ứng,8. Không có chỉ tiêu tương ứng,,-,8. Tài sản thiếu chờ xử lý,139,3.508.248.253 Trình bày lại và đối tên,,,,139.0,
9. Tài sản cố định,9. Tài sản cố định,9. Tài sản cố định,220,95.040.260.037,9. Tài sản cố định,220,3.551.789.581 Trình bày lại và đối tên,220.0,95040260037.0,,220.0,
10. Không có chỉ tiêu tương ứng,10. Không có chỉ tiêu tương ứng,10. Không có chỉ tiêu tương ứng,,-,10. Tài sản dở dang dài hạn,240,91.488.470.456 Trình bày lại và đối tên,,,,240.0,
11. Chi phí trả trước dài hạn,11. Chi phí trả trước dài hạn,11. Chi phí trả trước dài hạn,261,274.843.772.283,11. Chi phí trả trước dài hạn,261,358.445.340.919 Trình bày lại và đối tên,261.0,274843772283.0,,261.0,
II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,,,II. NGUỒN VỐN,,,,,,,
1. Phải trả người bán,II. NGUỒN VỐN > 1. Phải trả người bán,1. Phải trả người bán,312,85.869.954.504,1. Phải trả người bán ngắn hạn,311,85.869.954.504 Đối tên,312.0,85869954504.0,,311.0,
2. Người mua trả tiền trước,II. NGUỒN VỐN > 2. Người mua trả tiền trước,2. Người mua trả tiền trước,313,243.223.003.099,2. Người mua trả tiền trước ngắn hạn,312,496.878.444.652 Trình bày lại và đối tên,313.0,243223003099.0,,312.0,
3. Chi phí phải trả,II. NGUỒN VỐN > 3. Chi phí phải trả,3. Chi phí phải trả,316,118.535.617.263,3. Chi phí phải trả ngắn hạn,315,118.535.617.263 Đối tên,316.0,118535617263.0,,315.0,
"4. Các khoản phải trả, phải nộp khác","II. NGUỒN VỐN > 4. Các khoản phải trả, phải nộp khác","4. Các khoản phải trả, phải nộp khác",319,1.341.435.394.990,4. Phải trả ngắn hạn khác,319,1.341.435.394.990 Đối tên,319.0,1341435394990.0,,319.0,
5. Doanh thu chưa thực hiện,II. NGUỒN VỐN > 5. Doanh thu chưa thực hiện,5. Doanh thu chưa thực hiện,338,360.365.870.215,5. Doanh thu chưa thực hiện dài hạn,336,329.504.029.743 Trình bày lại và đối tên,338.0,360365870215.0,,336.0,
6. Phải trả dài hạn khác,II. NGUỒN VỐN > 6. Phải trả dài hạn khác,6. Phải trả dài hạn khác,333,1.241.983.975.671,6. Phải trả dài hạn khác,337,1.244.458.066.872,333.0,1241983975671.0,,337.0,1244458066872.0
7. Vốn điều lệ,II. NGUỒN VỐN > 7. Vốn điều lệ,7. Vốn điều lệ,411,3.000.000.000.000,7. Vốn góp của chủ sở hữu,411,3.000.000.000.000 Đối tên,411.0,3000000000000.0,,411.0,
8. Quỹ đầu tư phát triển,II. NGUỒN VỐN > 8. Quỹ đầu tư phát triển,8. Quỹ đầu tư phát triển,417,62.520.117.905,8. Quỹ đầu tư phát triển,418,99.871.176.744 Trình bày lại,417.0,62520117905.0,,418.0,
9. Quỹ dự phòng tài chính,II. NGUỒN VỐN > 9. Quỹ dự phòng tài chính,9. Quỹ dự phòng tài chính,418,37.351.058.839,9. Không có chỉ tiêu tương ứng,,- Trình bày lại,418.0,37351058839.0,,,
