row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải và thiết bị truyền dẫn,Thiết bị văn phòng,Khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,1.426.724.534.990,5.359.366.758.010,54.486.512.238,112.567.786.082,6.816.368.775,6.959.961.960.095,1426724534990.0,5359366758010.0,54486512238.0,112567786082.0,6816368775.0,6959961960095.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,-,-,1.460.533.730,1.460.533.730,,,,,1460533730.0,1460533730.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,28.637.860.476,-,39.328.612.313,-,67.966.472.789,,28637860476.0,,39328612313.0,,67966472789.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(328.214.510),(1.343.457.208),(3.120.511.915),-,(4.792.183.633),,-328214510.0,-1343457208.0,-3120511915.0,,-4792183633.0
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,779.934.982,-,(779.934.982),-,-,,779934982.0,,-779934982.0,,
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.426.724.534.990,5.388.456.338.958,53.143.055.030,147.995.951.498,8.276.902.505,7.024.596.782.981,1426724534990.0,5388456338958.0,53143055030.0,147995951498.0,8276902505.0,7024596782981.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,763.444.451.696,5.157.687.238.267,44.949.246.211,69.450.852.123,2.890.826.102,6.038.422.614.399,763444451696.0,5157687238267.0,44949246211.0,69450852123.0,2890826102.0,6038422614399.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,72.710.761.070,106.465.492.790,2.735.059.526,21.319.719.987,2.364.586.954,205.595.620.327,72710761070.0,106465492790.0,2735059526.0,21319719987.0,2364586954.0,205595620327.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(328.214.510),(1.343.457.208),(3.120.511.915),-,(4.792.183.633),,-328214510.0,-1343457208.0,-3120511915.0,,-4792183633.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,836.155.212.766,5.263.824.516.547,46.340.848.529,87.650.060.195,5.255.413.056,6.239.226.051.093,836155212766.0,5263824516547.0,46340848529.0,87650060195.0,5255413056.0,6239226051093.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,590.569.322.224,124.631.822.411,6.802.206.501,60.345.891.303,3.021.489.449,785.370.731.888,590569322224.0,124631822411.0,6802206501.0,60345891303.0,3021489449.0,785370731888.0
Tại ngày 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,663.280.083.294,201.679.519.743,9.537.266.027,43.116.933.959,3.925.542.673,921.539.345.696,663280083294.0,201679519743.0,9537266027.0,43116933959.0,3925542673.0,921539345696.0
