row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Phần mềm máy tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,803.964.779.348,171.736.726.176,52.117.573.588,9.981.954.396,1.037.801.033.508,803964779348.0,171736726176.0,52117573588.0,9981954396.0,1037801033508.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,1.977.793.869,1.198.110.000,-,3.175.903.869,,1977793869.0,1198110000.0,,3175903869.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,-,-,(85.064.909),(43.636.364),(128.701.273),,,-85064909.0,-43636364.0,-128701273.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,803.964.779.348,173.714.520.045,53.230.618.679,9.938.318.032,1.040.848.236.104,803964779348.0,173714520045.0,53230618679.0,9938318032.0,1040848236104.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,14.418.509.226,169.035.688.047,36.904.983.424,9.860.908.169,230.220.088.866,14418509226.0,169035688047.0,36904983424.0,9860908169.0,230220088866.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,4.303.568.201,2.595.868.374,8.302.715.282,110.143.108,15.312.294.965,4303568201.0,2595868374.0,8302715282.0,110143108.0,15312294965.0
Thanh lý,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý,Thanh lý,-,-,(63.810.329),(32.733.245),(96.543.574),,,-63810329.0,-32733245.0,-96543574.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,18.722.077.427,171.631.556.421,45.143.888.377,9.938.318.032,245.435.840.257,18722077427.0,171631556421.0,45143888377.0,9938318032.0,245435840257.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,785.242.701.921,2.082.963.624,8.086.730.302,-,795.412.395.847,785242701921.0,2082963624.0,8086730302.0,,795412395847.0
Tại ngày 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,789.546.270.122,2.701.038.129,15.212.590.164,121.046.227,807.580.944.642,789546270122.0,2701038129.0,15212590164.0,121046227.0,807580944642.0
