row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,MAU SO B 01-DNĐơn vị: VND31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__MAU SO B 01-DNĐơn vị: VND31/12/2014(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,7.449.107.457.914,6.544.156.632.162,100.0,,7449107457914.0,6544156632162.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,5.188.813.158.588,4.757.994.590.292,110.0,5.0,5188813158588.0,4757994590292.0
1. Tiền,1. Tiền,1. Tiền,111,,114.813.158.588,77.994.590.292,111.0,,114813158588.0,77994590292.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,5.074.000.000.000,4.680.000.000.000,112.0,,5074000000000.0,4680000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,70.000.000.000,71.245.382.915,120.0,6.0,70000000000.0,71245382915.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,70.000.000.000,71.245.382.915,123.0,,70000000000.0,71245382915.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,940.005.670.190,369.748.546.089,130.0,,940005670190.0,369748546089.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,236.190.426.179,141.279.226.421,131.0,7.0,236190426179.0,141279226421.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,8,596.396.818.230,88.504.082.423,132.0,8.0,596396818230.0,88504082423.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,328.336.175.448,261.556.944.534,136.0,9.0,328336175448.0,261556944534.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(220.917.749.667),(121.591.707.289),137.0,10.0,-220917749667.0,-121591707289.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,1.129.364.660.553,1.206.413.629.582,140.0,11.0,1129364660553.0,1206413629582.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,1.129.364.660.553,1.206.413.629.582,141.0,,1129364660553.0,1206413629582.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,120.923.968.583,138.754.483.284,150.0,,120923968583.0,138754483284.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,14.488.196.547,15.139.650.768,151.0,12.0,14488196547.0,15139650768.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,102.303.948.945,119.101.991.777,152.0,,102303948945.0,119101991777.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,20,4.131.823.091,4.512.840.739,153.0,20.0,4131823091.0,4512840739.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.023.114.369.845,3.094.226.227.660,200.0,,3023114369845.0,3094226227660.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,50.000.000,50.000.000,210.0,,50000000.0,50000000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,9,50.000.000,50.000.000,216.0,9.0,50000000.0,50000000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,1.580.783.127.735,1.729.120.290.338,220.0,,1580783127735.0,1729120290338.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,785.370.731.888,921.539.345.696,221.0,13.0,785370731888.0,921539345696.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,7.024.596.782.981,6.959.961.960.095,222.0,,7024596782981.0,6959961960095.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(6.239.226.051.093),(6.038.422.614.399),223.0,,-6239226051093.0,-6038422614399.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,795.412.395.847,807.580.944.642,227.0,14.0,795412395847.0,807580944642.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,1.040.848.236.104,1.037.801.033.508,228.0,,1040848236104.0,1037801033508.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(245.435.840.257),(230.220.088.866),229.0,,-245435840257.0,-230220088866.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,15,282.070.955.999,344.282.761.982,230.0,15.0,282070955999.0,344282761982.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,334.556.867.544,391.906.232.192,231.0,,334556867544.0,391906232192.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(52.485.911.545),(47.623.470.210),232.0,,-52485911545.0,-47623470210.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,609.740.263.873,240.638.327.232,240.0,,609740263873.0,240638327232.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,16,609.740.263.873,240.638.327.232,242.0,16.0,609740263873.0,240638327232.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,6,483.415.929.714,701.104.947.899,250.0,6.0,483415929714.0,701104947899.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,445.046.800.000,466.456.800.000,251.0,,445046800000.0,466456800000.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,680.903.000.000,662.700.000.000,252.0,,680903000000.0,662700000000.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,20.502.000.000,20.502.000.000,253.0,,20502000000.0,20502000000.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(663.035.870.286),(448.553.852.101),254.0,,-663035870286.0,-448553852101.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,67.054.092.524,79.029.900.209,260.0,,67054092524.0,79029900209.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,9.614.110.172,25.208.466.648,261.0,12.0,9614110172.0,25208466648.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,17,57.439.982.352,53.821.433.561,262.0,17.0,57439982352.0,53821433561.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,10.472.221.827.759,9.638.382.859.822,270.0,,10472221827759.0,9638382859822.0
