row_label_raw,row_label_full,col_0,2015 > Số năm,numeric__2015 > Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",10 - 25,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",3 - 6,
Phương tiện vận tải,"Máy móc, thiết bị > Phương tiện vận tải",Phương tiện vận tải,6,6.0
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 5,
Tài sản cố định hữu hình khác,Thiết bị văn phòng > Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,3,3.0
