row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Qũy dự phòng tài chính,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Qũy dự phòng tài chính,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,3.800.000.000.000,21.179.913.858,(2.296.824.120),(264.120.169),2.499.459.725.948,945.355.131.893,2.001.352.082.545,9.264.785.909.955,3800000000000.0,21179913858.0,-2296824120.0,-264120169.0,2499459725948.0,945355131893.0,2001352082545.0,9264785909955.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,1.066.132.558.505,1.066.132.558.505,,,,,,,1066132558505.0,1066132558505.0
Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,-,-,-,-,-,-,(117.037.091.980),(117.037.091.980),,,,,,,-117037091980.0,-117037091980.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,-,(1.519.737.040.000),(1.519.737.040.000),,,,,,,-1519737040000.0,-1519737040000.0
Khác,Khác,Khác,-,-,-,263.400.375,-,-,-,263.400.375,,,,263400375.0,,,,263400375.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,3.800.000.000.000,21.179.913.858,(2.296.824.120),(719.794),2.499.459.725.948,945.355.131.893,1.430.710.509.070,8.694.407.736.855,3800000000000.0,21179913858.0,-2296824120.0,-719794.0,2499459725948.0,945355131893.0,1430710509070.0,8694407736855.0
Phân loại lại theo Thông tư 200,Phân loại lại theo Thông tư 200,Phân loại lại theo Thông tư 200,-,-,-,-,945.355.131.893,(945.355.131.893),-,-,,,,,945355131893.0,-945355131893.0,,
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,3.800.000.000.000,21.179.913.858,(2.296.824.120),(719.794),3.444.814.857.841,-,1.430.710.509.070,8.694.407.736.855,3800000000000.0,21179913858.0,-2296824120.0,-719794.0,3444814857841.0,,1430710509070.0,8694407736855.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,1.468.371.057.218,1.468.371.057.218,,,,,,,1468371057218.0,1468371057218.0
Trích Quỹ Khen thưởng phúc lợi (1),Trích Quỹ Khen thưởng phúc lợi (1),Trích Quỹ Khen thưởng phúc lợi (1),-,-,-,-,-,-,(274.872.009.248),(274.872.009.248),,,,,,,-274872009248.0,-274872009248.0
Chia cổ tức (2),Chia cổ tức (2),Chia cổ tức (2),-,-,-,-,-,-,(1.519.737.040.000),(1.519.737.040.000),,,,,,,-1519737040000.0,-1519737040000.0
Khác,Khác,Khác,-,-,-,719.794,-,-,-,719.794,,,,719794.0,,,,719794.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,3.800.000.000.000,21.179.913.858,(2.296.824.120),-,3.444.814.857.841,-,1.104.472.517.040,8.368.170.464.619,3800000000000.0,21179913858.0,-2296824120.0,,3444814857841.0,,1104472517040.0,8368170464619.0
