row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,2015,2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014(Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,28,8.395.699.818.428,7.627.863.121.528,1.0,28.0,8395699818428.0,7627863121528.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,28,112.817.988.804,121.642.589.279,2.0,28.0,112817988804.0,121642589279.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,8.282.881.829.624,7.506.220.532.249,10.0,,8282881829624.0,7506220532249.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,29,5.536.482.216.522,5.455.955.933.263,11.0,29.0,5536482216522.0,5455955933263.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.746.399.613.102,2.050.264.598.986,20.0,,2746399613102.0,2050264598986.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,308.798.232.412,466.062.614.665,21.0,31.0,308798232412.0,466062614665.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,216.400.098.567,285.412.138.127,22.0,32.0,216400098567.0,285412138127.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,33,634.197.814.849,595.315.677.630,25.0,33.0,634197814849.0,595315677630.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,33,490.153.495.126,458.312.137.579,26.0,33.0,490153495126.0,458312137579.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.714.446.436.972,1.177.287.260.315,30.0,,1714446436972.0,1177287260315.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,34,24.443.324.321,10.480.189.203,31.0,34.0,24443324321.0,10480189203.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,34,1.048.768.634,7.294.508.763,32.0,34.0,1048768634.0,7294508763.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,23.394.555.687,3.185.680.440,40.0,,23394555687.0,3185680440.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.737.840.992.659,1.180.472.940.755,50.0,,1737840992659.0,1180472940755.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,273.088.484.232,142.737.727.722,51.0,35.0,273088484232.0,142737727722.0
16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,17,(3.618.548.791),(28.397.345.472),52.0,17.0,-3618548791.0,-28397345472.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.468.371.057.218,1.066.132.558.505,60.0,,1468371057218.0,1066132558505.0
