row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014(Trình bày lại),numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
,,,VND,VND,,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,
Công ty Cổ phần Đầu tư Tài chính Công đoàn Dầu khí Việt Nam,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư Tài chính Công đoàn Dầu khí Việt Nam,Công ty Cổ phần Đầu tư Tài chính Công đoàn Dầu khí Việt Nam,110.143.267.289,110.143.267.289,110143267289.0,110143267289.0
Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí (i),Phải thu ngắn hạn khác > Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí (i),Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí (i),101.620.682.378,-,101620682378.0,
Trích trước lãi tiền gửi có kỳ hạn,Phải thu ngắn hạn khác > Trích trước lãi tiền gửi có kỳ hạn,Trích trước lãi tiền gửi có kỳ hạn,22.511.181.846,20.177.721.324,22511181846.0,20177721324.0
Công ty Cổ phần Kinh doanh khí hóa lòng Miền Bắc (ii),Phải thu ngắn hạn khác > Công ty Cổ phần Kinh doanh khí hóa lòng Miền Bắc (ii),Công ty Cổ phần Kinh doanh khí hóa lòng Miền Bắc (ii),12.792.091.037,12.792.091.037,12792091037.0,12792091037.0
Tạm ứng cho người lao động,Phải thu ngắn hạn khác > Tạm ứng cho người lao động,Tạm ứng cho người lao động,3.307.722.538,1.627.791.124,3307722538.0,1627791124.0
Ký cược ký quỹ ngắn hạn,Phải thu ngắn hạn khác > Ký cược ký quỹ ngắn hạn,Ký cược ký quỹ ngắn hạn,47.000.000,51.000.000,47000000.0,51000000.0
Thuế GTGT được hoàn của Nhà máy Đạm Phú Mỹ,Phải thu ngắn hạn khác > Thuế GTGT được hoàn của Nhà máy Đạm Phú Mỹ,Thuế GTGT được hoàn của Nhà máy Đạm Phú Mỹ,17.851.484.482,106.450.370.984,17851484482.0,106450370984.0
Phải thu chiết khấu mua hàng từ nhà cung cấp,Phải thu ngắn hạn khác > Phải thu chiết khấu mua hàng từ nhà cung cấp,Phải thu chiết khấu mua hàng từ nhà cung cấp,51.589.780.848,-,51589780848.0,
Khác,Phải thu ngắn hạn khác > Khác,Khác,11.756.687.205,12.794.660.888,11756687205.0,12794660888.0
,,,331.619.897.623,264.036.902.646,331619897623.0,264036902646.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,
"Ký cược, ký quỹ dài hạn","Phải thu dài hạn khác > Ký cược, ký quỹ dài hạn","Ký cược, ký quỹ dài hạn",1.167.836.000,949.902.000,1167836000.0,949902000.0
Góp vốn hợp tác kinh doanh (iii),Phải thu dài hạn khác > Góp vốn hợp tác kinh doanh (iii),Góp vốn hợp tác kinh doanh (iii),21.114.909.091,800.000.000,21114909091.0,800000000.0
,,,22.282.745.091,1.749.902.000,22282745091.0,1749902000.0
