row_label_raw,row_label_full,col_0,2015,2014,numeric__2015,numeric__2014
,,,VND,VND,,
Chi phí bán hàng phát sinh trong năm,Chi phí bán hàng phát sinh trong năm,Chi phí bán hàng phát sinh trong năm,Chi phí bán hàng phát sinh trong năm,Chi phí bán hàng phát sinh trong năm,,
"Chi phí vận chuyển, bốc xếp lưu kho","Chi phí bán hàng phát sinh trong năm > Chi phí vận chuyển, bốc xếp lưu kho","Chi phí vận chuyển, bốc xếp lưu kho",321.192.309.897,365.309.546.096,321192309897.0,365309546096.0
Chi phí an sinh xã hội,Chi phí bán hàng phát sinh trong năm > Chi phí an sinh xã hội,Chi phí an sinh xã hội,84.566.175.997,93.567.806.900,84566175997.0,93567806900.0
"Chi phí quảng cáo, truyền thông","Chi phí bán hàng phát sinh trong năm > Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông",121.833.095.089,94.226.951.310,121833095089.0,94226951310.0
Các khoản chi phí bán hàng khác,Chi phí bán hàng phát sinh trong năm > Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,223.394.058.854,148.500.655.111,223394058854.0,148500655111.0
,,,750.985.639.837,701.604.959.417,750985639837.0,701604959417.0
Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,173.419.865.839,161.127.993.271,173419865839.0,161127993271.0
Phí quản lý nộp Tập đoàn,Chi phí quản lý doanh nghiệp phát sinh trong năm > Phí quản lý nộp Tập đoàn,Phí quản lý nộp Tập đoàn,32.535.684.686,37.320.959.603,32535684686.0,37320959603.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,91.890.326.106,93.397.979.136,91890326106.0,93397979136.0
Các khoản chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp phát sinh trong năm > Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,299.230.056.580,278.683.644.998,299230056580.0,278683644998.0
,,,597.075.933.211,570.530.577.008,597075933211.0,570530577008.0
