row_label_raw,row_label_full,Tên chỉ tiêu,Mã số,Số tiền(VND),Tên chỉ tiêu_1,Mã số_1,Số tiền(VND)_1,numeric__Mã số,numeric__Số tiền(VND),numeric__Tên chỉ tiêu_1,numeric__Mã số_1,numeric__Số tiền(VND)_1
BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,,,,,
I. Tài sản,I. Tài sản,I. Tài sản,I. Tài sản,I. Tài sản,I. Tài sản,I. Tài sản,I. Tài sản,,,,,
1. Đầu tư ngắn hạn,I. Tài sản > 1. Đầu tư ngắn hạn,1. Đầu tư ngắn hạn,121,76.245.382.915,1. Đầu tư nắm giữ đến ngày đáo hạn,123,77.119.148.009 Trình bày lại và đối mã số,121.0,76245382915.0,,123.0,
2. Đầu tư dài hạn khác,I. Tài sản > 2. Đầu tư dài hạn khác,2. Đầu tư dài hạn khác,258,22.175.765.094,2. Đầu tư góp vốn vào đơn vị khác,253,20.502.000.000 Trình bày lại và đối mã số,258.0,22175765094.0,,253.0,
3. Các khoản phải thu khác,I. Tài sản > 3. Các khoản phải thu khác,3. Các khoản phải thu khác,135,262.358.111.522,3. Phải thu ngắn hạn khác,136,264.036.902.646 Trình bày lại và đối mã số,135.0,262358111522.0,,136.0,
4. Tài sản ngắn hạn khác,I. Tài sản > 4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,158,1.675.791.124,4. Tài sản ngắn hạn khác,155,- Trình bày lại và đối mã số,158.0,1675791124.0,,155.0,
5. Phải thu dài hạn khác,I. Tài sản > 5. Phải thu dài hạn khác,5. Phải thu dài hạn khác,218,-,5. Phải thu dài hạn khác,216,1.749.902.000 Trình bày lại và đối mã số,218.0,,,216.0,
6. Tài sản dài hạn khác,I. Tài sản > 6. Tài sản dài hạn khác,6. Tài sản dài hạn khác,268,952.902.000,6. Tài sản dài hạn khác,268,- Trình bày lại,268.0,952902000.0,,268.0,
II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,,,,,
1. Doanh thu chưa thực hiện,II. Nguồn vốn > 1. Doanh thu chưa thực hiện,1. Doanh thu chưa thực hiện,338,2.875.711.896,1. Doanh thu chưa thực hiện ngắn hạn,318,21.747.446 Trình bày lại và đối mã số,338.0,2875711896.0,,318.0,
2. Chi phí phải trả,II. Nguồn vốn > 2. Chi phí phải trả,2. Chi phí phải trả,316,281.235.390.729,2. Chi phí phải trả ngắn hạn,315,64.130.128.196 Trình bày lại và đối mã số,316.0,281235390729.0,,315.0,
3. Dự phòng phải trả ngắn hạn,II. Nguồn vốn > 3. Dự phòng phải trả ngắn hạn,3. Dự phòng phải trả ngắn hạn,320,350.050.095,3. Dự phòng phải trả ngắn hạn,321,217.455.312.628 Trình bày lại và đối mã số,320.0,350050095.0,,321.0,
4. Doanh thu chưa thực hiện dài hạn,II. Nguồn vốn > 4. Doanh thu chưa thực hiện dài hạn,4. Doanh thu chưa thực hiện dài hạn,,-,4. Doanh thu chưa thực hiện dài hạn,336,2.853.964.450 Trình bày lại và đối mã số,,,,336.0,
5. Quỹ đầu tư phát triển,II. Nguồn vốn > 5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,417,2.527.751.504.123,5. Quỹ đầu tư phát triển,418,3.495.964.052.370 Trình bày lại và đối mã số,417.0,2527751504123.0,,418.0,
6. Quỹ dự phòng tài chính,II. Nguồn vốn > 6. Quỹ dự phòng tài chính,6. Quỹ dự phòng tài chính,418,968.212.548.247,Không có chỉ tiêu tương ứng,,-,418.0,968212548247.0,,,
BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,,,
1. Lãi cơ bản trên cổ phiếu,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 1. Lãi cơ bản trên cổ phiếu,1. Lãi cơ bản trên cổ phiếu,70,2.885,1. Lãi cơ bản trên cổ phiếu,70,2.506 Trình bày lại,70.0,2885.0,,70.0,
BẢO CẢO LUU CHUYÊN TIỀN TỆ,BẢO CẢO LUU CHUYÊN TIỀN TỆ,BẢO CẢO LUU CHUYÊN TIỀN TỆ,BẢO CẢO LUU CHUYÊN TIỀN TỆ,BẢO CẢO LUU CHUYÊN TIỀN TỆ,BẢO CẢO LUU CHUYÊN TIỀN TỆ,BẢO CẢO LUU CHUYÊN TIỀN TỆ,BẢO CẢO LUU CHUYÊN TIỀN TỆ,,,,,
- Các khoản dự phòng,BẢO CẢO LUU CHUYÊN TIỀN TỆ > - Các khoản dự phòng,- Các khoản dự phòng,03,(10.231.737.480),- Các khoản dự phòng,03,163.452.258.562 Trình bày lại,3.0,-10231737480.0,,3.0,
Không có chỉ tiêu tương ứng,BẢO CẢO LUU CHUYÊN TIỀN TỆ > Không có chỉ tiêu tương ứng,Không có chỉ tiêu tương ứng,,-,- Các khoản điều chỉnh khác,07,31.155.932.023 Chỉ tiêu mới,,,,7.0,
"Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","BẢO CẢO LUU CHUYÊN TIỀN TỆ > Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(183.400.003.718),"Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,400.599.966.781) Trình bày lại,11.0,-183400003718.0,,11.0,
