row_label_raw,row_label_full,Chỉ tiêu,31/12/2014 > Giá trị,31/12/2014 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Giảm do thoái vốn,31/12/2015 > Giá trị,31/12/2015 > Số có khả năng trả nợ,numeric__31/12/2014 > Giá trị,numeric__31/12/2014 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Giảm do thoái vốn,numeric__31/12/2015 > Giá trị,numeric__31/12/2015 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,91.740.870.923,91.740.870.923,122.258.204.224,171.039.367.131,42.959.708.016,-,-,91740870923.0,91740870923.0,122258204224.0,171039367131.0,42959708016.0,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vũng Tàu,21.455.796.223,21.455.796.223,106.036.629.899,96.292.632.206,31.199.793.916,-,-,21455796223.0,21455796223.0,106036629899.0,96292632206.0,31199793916.0,,
Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh Vũng Tàu,Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh Vũng Tàu,Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh Vũng Tàu,5.308.574.700,5.308.574.700,4.461.660.225,9.770.234.925,-,-,-,5308574700.0,5308574700.0,4461660225.0,9770234925.0,,,
Ngân hàng TMCP Quân đội - Chi nhánh Vũng Tàu,Ngân hàng TMCP Quân đội - Chi nhánh Vũng Tàu,Ngân hàng TMCP Quân đội - Chi nhánh Vũng Tàu,-,-,11.759.914.100,-,11.759.914.100,-,-,,,11759914100.0,,11759914100.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Định,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Định,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Định,52.500.000.000,52.500.000.000,-,52.500.000.000,-,-,-,52500000000.0,52500000000.0,,52500000000.0,,,
Ngân hàng TMCP Quân đội - Phòng giao dịch Võ Văn Tần,Ngân hàng TMCP Quân đội - Phòng giao dịch Võ Văn Tần,Ngân hàng TMCP Quân đội - Phòng giao dịch Võ Văn Tần,12.476.500.000,12.476.500.000,-,12.476.500.000,-,-,-,12476500000.0,12476500000.0,,12476500000.0,,,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,1.780.041.966,1.780.041.966,3.419.655.166,3.066.373.132,-,2.133.324.000,2.133.324.000,1780041966.0,1780041966.0,3419655166.0,3066373132.0,,2133324000.0,2133324000.0
Ngân hàng TMCP Đại chúng Việt Nam,Ngân hàng TMCP Đại chúng Việt Nam,Ngân hàng TMCP Đại chúng Việt Nam,1.115.831.634,1.115.831.634,,1.115.831.634,-,-,-,1115831634.0,1115831634.0,,1115831634.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vũng Tàu,664.210.332,664.210.332,1.286.331.166,1.950.541.498,-,-,-,664210332.0,664210332.0,1286331166.0,1950541498.0,,,
Ngân hàng TMCP Nam Á - Chi nhánh An Đông,Ngân hàng TMCP Nam Á - Chi nhánh An Đông,Ngân hàng TMCP Nam Á - Chi nhánh An Đông,-,-,1.999.992.000,-,-,1.999.992.000,1.999.992.000,,,1999992000.0,,,1999992000.0,1999992000.0
Ngân hàng TMCP Nam Á - Phòng giao dịch Hòa Bình,Ngân hàng TMCP Nam Á - Phòng giao dịch Hòa Bình,Ngân hàng TMCP Nam Á - Phòng giao dịch Hòa Bình,-,-,133.332.000,-,-,133.332.000,133.332.000,,,133332000.0,,,133332000.0,133332000.0
,,,93.520.912.889,93.520.912.889,125.677.859.390,174.105.740.263,42.959.708.016,2.133.324.000,2.133.324.000,93520912889.0,93520912889.0,125677859390.0,174105740263.0,42959708016.0,2133324000.0,2133324000.0
