row_label_raw,row_label_full,col_0,2015,2014,numeric__2015,numeric__2014
,,,VND,VND,,
Doanh thu Ure Phú Mỹ,Doanh thu Ure Phú Mỹ,Doanh thu Ure Phú Mỹ,6.170.852.658.627,6.313.603.683.900,6170852658627.0,6313603683900.0
Doah thu Ure Cà Mau,Doah thu Ure Cà Mau,Doah thu Ure Cà Mau,146.403.645.000,398.611.030.574,146403645000.0,398611030574.0
Doanh thu Amoniac,Doanh thu Amoniac,Doanh thu Amoniac,271.418.980.873,181.463.231.525,271418980873.0,181463231525.0
Doanh thu điện,Doanh thu điện,Doanh thu điện,1.608.040.595,1.422.244.336,1608040595.0,1422244336.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,269.574.239.723,256.984.586.198,269574239723.0,256984586198.0
,,,6.859.857.564.818,7.152.084.776.533,6859857564818.0,7152084776533.0
Chiết khấu thương mại,Chiết khấu thương mại,Chiết khấu thương mại,67.581.299.701,80.356.184.004,67581299701.0,80356184004.0
,,,6.792.276.265.117,7.071.728.592.529,6792276265117.0,7071728592529.0
Doanh thu phát sinh trong năm với các bên liên quan(chỉ tiết trình bày ở Thuyết minh số 39),Doanh thu phát sinh trong năm với các bên liên quan(chỉ tiết trình bày ở Thuyết minh số 39),Doanh thu phát sinh trong năm với các bên liên quan(chỉ tiết trình bày ở Thuyết minh số 39),324.142.902.346,150.217.876.915,324142902346.0,150217876915.0
