row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2015VND,Giá trị ghi số > 31/12/2014(Trình bày lại)VND,numeric__Giá trị ghi số > 31/12/2015VND,numeric__Giá trị ghi số > 31/12/2014(Trình bày lại)VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.188.813.158.588,4.757.994.590.292,5188813158588.0,4757994590292.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,70.000.000.000,71.245.382.915,70000000000.0,71245382915.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,343.593.851.960,280.973.275.951,343593851960.0,280973275951.0
Phải thu dài hạn khác,Tài sản tài chính > Phải thu dài hạn khác,Phải thu dài hạn khác,50.000.000,50.000.000,50000000.0,50000000.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,5.602.457.010.548,5.110.263.249.158,5602457010548.0,5110263249158.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay và nợ thuê tài chính,Công nợ tài chính > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,226.950.078.667,-,226950078667.0,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.334.564.059.313,410.929.485.107,1334564059313.0,410929485107.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,53.486.372.501,57.064.219.158,53486372501.0,57064219158.0
Dự phòng phải trả,Công nợ tài chính > Dự phòng phải trả,Dự phòng phải trả,136.231.934.667,217.105.262.533,136231934667.0,217105262533.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,1.751.232.445.148,685.098.966.798,1751232445148.0,685098966798.0
