row_label_raw,row_label_full,col_0,2015,2014(Trình bày lại),numeric__2015,numeric__2014(Trình bày lại)
,,,VND,VND,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thanh lý bất động sản đầu tư,Thu nhập khác > Thanh lý bất động sản đầu tư,Thanh lý bất động sản đầu tư,19.293.095.488,-,19293095488.0,
Thu phạt do khách hàng vi phạm hợp đồng,Thu nhập khác > Thu phạt do khách hàng vi phạm hợp đồng,Thu phạt do khách hàng vi phạm hợp đồng,253.210.835,1.029.475.330,253210835.0,1029475330.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,4.897.017.998,9.450.713.873,4897017998.0,9450713873.0
,,,24.443.324.321,10.480.189.203,24443324321.0,10480189203.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí bất động sản đầu tư,Chi phí khác > Chi phí bất động sản đầu tư,Chi phí bất động sản đầu tư,-,175.336.802,,175336802.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,1.048.768.634,7.119.171.961,1048768634.0,7119171961.0
,,,1.048.768.634,7.294.508.763,1048768634.0,7294508763.0
