row_label_raw,row_label_full,31/12/2015,Dưới 1 năm > VND,Từ 1-5 năm > VND,Sau 5 năm > VND,Tổng > VND,numeric__Dưới 1 năm > VND,numeric__Từ 1-5 năm > VND,numeric__Sau 5 năm > VND,numeric__Tổng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.690.048.266.789,-,-,5.690.048.266.789,5690048266789.0,,,5690048266789.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,80.950.000.000,-,-,80.950.000.000,80950000000.0,,,80950000000.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,217.940.941.985,21.114.909.091,-,239.055.851.076,217940941985.0,21114909091.0,,239055851076.0
Tổng cộng,Tổng cộng,Tổng cộng,5.988.939.208.774,21.114.909.091,-,6.010.054.117.865,5988939208774.0,21114909091.0,,6010054117865.0
31/12/2015,31/12/2015,31/12/2015,Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
31/12/2015,31/12/2015,31/12/2015,VND,VND,VND,VND,,,,
Các khoản vay và nợ thuê tài chính,31/12/2015 > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,2.133.324.000,230.138.981.667,-,232.272.305.667,2133324000.0,230138981667.0,,232272305667.0
Phải trả người bán và phải trả khác,31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.370.541.381.011,6.826.964.074,-,1.377.368.345.085,1370541381011.0,6826964074.0,,1377368345085.0
Chi phí phải trả,31/12/2015 > Chi phí phải trả,Chi phí phải trả,57.056.342.544,-,-,57.056.342.544,57056342544.0,,,57056342544.0
Dự phòng phải trả,31/12/2015 > Dự phòng phải trả,Dự phòng phải trả,40.184.083.102,96.551.724.139,-,136.735.807.241,40184083102.0,96551724139.0,,136735807241.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,1.469.915.130.657,333.517.669.880,-,1.803.432.800.537,1469915130657.0,333517669880.0,,1803432800537.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,4.519.024.078.117,(312.402.760.789),-,4.206.621.317.328,4519024078117.0,-312402760789.0,,4206621317328.0
31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),VND,VND,VND,VND,,,,
Tiền và các khoản tương đương tiền,31/12/2014 (Trình bày lại) > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.078.299.954.021,-,-,5.078.299.954.021,5078299954021.0,,,5078299954021.0
Đầu tư tài chính ngắn hạn,31/12/2014 (Trình bày lại) > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,77.119.148.009,-,-,77.119.148.009,77119148009.0,,,77119148009.0
Phải thu khách hàng và phải thu khác,31/12/2014 (Trình bày lại) > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,315.556.282.671,800.000.000,-,316.356.282.671,315556282671.0,800000000.0,,316356282671.0
Tổng cộng,31/12/2014 (Trình bày lại) > Tổng cộng,Tổng cộng,5.470.975.384.701,800.000.000,-,5.471.775.384.701,5470975384701.0,800000000.0,,5471775384701.0
31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),VND,VND,VND,VND,,,,
Các khoản vay và nợ thuê tài chính,31/12/2014 (Trình bày lại) > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,93.520.912.889,1.125.866.779,-,94.646.779.668,93520912889.0,1125866779.0,,94646779668.0
Phải trả người bán và phải trả khác,31/12/2014 (Trình bày lại) > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,431.030.994.513,6.177.584.074,-,437.208.578.587,431030994513.0,6177584074.0,,437208578587.0
Chi phí phải trả,31/12/2014 (Trình bày lại) > Chi phí phải trả,Chi phí phải trả,64.130.128.196,-,-,64.130.128.196,64130128196.0,,,64130128196.0
Dự phòng phải trả,31/12/2014 (Trình bày lại) > Dự phòng phải trả,Dự phòng phải trả,217.455.312.628,-,-,217.455.312.628,217455312628.0,,,217455312628.0
Tổng cộng,31/12/2014 (Trình bày lại) > Tổng cộng,Tổng cộng,806.137.348.226,7.303.450.853,-,813.440.799.079,806137348226.0,7303450853.0,,813440799079.0
Chênh lệch thanh khoản thuần,31/12/2014 (Trình bày lại) > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,4.664.838.036.475,(6.503.450.853),-,4.658.334.585.622,4664838036475.0,-6503450853.0,,4658334585622.0
