row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,8.082.320.730.170,7.200.752.688.114,100.0,,8082320730170.0,7200752688114.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,5.690.048.266.789,5.078.299.954.021,110.0,5.0,5690048266789.0,5078299954021.0
1. Tiền,1. Tiền,1. Tiền,111,,251.548.266.789,151.773.287.354,111.0,,251548266789.0,151773287354.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,5.438.500.000.000,4.926.526.666.667,112.0,,5438500000000.0,4926526666667.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,80.950.000.000,77.119.148.009,120.0,6.0,80950000000.0,77119148009.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,80.950.000.000,77.119.148.009,123.0,,80950000000.0,77119148009.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,821.016.395.013,406.076.671.375,130.0,,821016395013.0,406076671375.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,110.593.516.567,174.789.878.438,131.0,7.0,110593516567.0,174789878438.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,8,599.720.730.490,88.841.597.580,132.0,8.0,599720730490.0,88841597580.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,331.619.897.623,264.036.902.646,136.0,9.0,331619897623.0,264036902646.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(220.917.749.667),(121.591.707.289),137.0,10.0,-220917749667.0,-121591707289.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,1.365.359.901.358,1.491.901.174.015,140.0,11.0,1365359901358.0,1491901174015.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,1.369.360.058.916,1.492.182.549.952,141.0,,1369360058916.0,1492182549952.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(4.000.157.558),(281.375.937),149.0,,-4000157558.0,-281375937.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,124.946.167.010,147.355.740.694,150.0,,124946167010.0,147355740694.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,16.806.463.175,16.540.850.938,151.0,12.0,16806463175.0,16540850938.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,104.007.880.744,126.299.049.017,152.0,,104007880744.0,126299049017.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,20,4.131.823.091,4.515.840.739,153.0,20.0,4131823091.0,4515840739.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,2.836.858.993.077,2.910.257.813.585,200.0,,2836858993077.0,2910257813585.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,22.282.745.091,1.749.902.000,210.0,,22282745091.0,1749902000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,9,22.282.745.091,1.749.902.000,216.0,9.0,22282745091.0,1749902000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,1.853.675.922.763,2.048.617.374.641,220.0,,1853675922763.0,2048617374641.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,950.883.146.423,1.133.009.443.261,221.0,13.0,950883146423.0,1133009443261.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,7.325.699.359.354,7.325.619.743.462,222.0,,7325699359354.0,7325619743462.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(6.374.816.212.931),(6.192.610.300.201),223.0,,-6374816212931.0,-6192610300201.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,902.792.776.340,915.607.931.380,227.0,14.0,902792776340.0,915607931380.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,1.151.101.721.979,1.148.328.298.022,228.0,,1151101721979.0,1148328298022.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(248.308.945.639),(232.720.366.642),229.0,,-248308945639.0,-232720366642.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,15,213.918.863.401,274.190.461.027,230.0,15.0,213918863401.0,274190461027.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,257.503.814.400,314.530.971.192,231.0,,257503814400.0,314530971192.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(43.584.950.999),(40.340.510.165),232.0,,-43584950999.0,-40340510165.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,612.341.484.055,246.836.829.085,240.0,,612341484055.0,246836829085.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,16,612.341.484.055,246.836.829.085,242.0,16.0,612341484055.0,246836829085.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,6,47.372.063.536,230.017.094.841,250.0,6.0,47372063536.0,230017094841.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,27.205.933.822,209.850.965.127,252.0,,27205933822.0,209850965127.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,20.502.000.000,20.502.000.000,253.0,,20502000000.0,20502000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(335.870.286),(335.870.286),254.0,,-335870286.0,-335870286.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,87.267.914.231,108.846.151.991,260.0,,87267914231.0,108846151991.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,23.061.447.048,43.566.513.172,261.0,12.0,23061447048.0,43566513172.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,17,64.206.467.183,65.279.638.819,262.0,17.0,64206467183.0,65279638819.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,10.919.179.723.247,10.111.010.501.699,270.0,,10919179723247.0,10111010501699.0
