row_label_raw,row_label_full,31/12/2015,Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1-5 năm,numeric__Sau 5 năm,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.188.813.158.588,-,-,5.188.813.158.588,5188813158588.0,,,5188813158588.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,70.000.000.000,-,-,70.000.000.000,70000000000.0,,,70000000000.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,343.593.851.960,-,-,343.593.851.960,343593851960.0,,,343593851960.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,50.000.000,-,50.000.000,,50000000.0,,50000000.0
Tổng cộng,Tổng cộng,Tổng cộng,5.602.407.010.548,50.000.000,-,5.602.457.010.548,5602407010548.0,50000000.0,,5602457010548.0
31/12/2015,31/12/2015,31/12/2015,Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Các khoản vay và nợ thuê tài chính,31/12/2015 > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,-,226.950.078.667,-,226.950.078.667,,226950078667.0,,226950078667.0
Phải trả người bán và phải trả khác,31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.334.564.059.313,-,-,1.334.564.059.313,1334564059313.0,,,1334564059313.0
Chi phí phải trả,31/12/2015 > Chi phí phải trả,Chi phí phải trả,53.486.372.501,-,-,53.486.372.501,53486372501.0,,,53486372501.0
Dự phòng phải trả,31/12/2015 > Dự phòng phải trả,Dự phòng phải trả,39.680.210.527,96.551.724.140,-,136.231.934.667,39680210527.0,96551724140.0,,136231934667.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,1.427.730.642.341,323.501.802.807,-,1.751.232.445.148,1427730642341.0,323501802807.0,,1751232445148.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,4.174.676.368.207,(323.451.802.807),-,3.851.224.565.400,4174676368207.0,-323451802807.0,,3851224565400.0
31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Tiền và các khoản tương đương tiền,31/12/2014 (Trình bày lại) > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.757.994.590.292,-,-,4.757.994.590.292,4757994590292.0,,,4757994590292.0
Đầu tư tài chính ngắn hạn,31/12/2014 (Trình bày lại) > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,71.245.382.915,-,-,71.245.382.915,71245382915.0,,,71245382915.0
Phải thu khách hàng và phải thu khác,31/12/2014 (Trình bày lại) > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,280.973.275.951,-,-,280.973.275.951,280973275951.0,,,280973275951.0
Phải thu dài hạn khác,31/12/2014 (Trình bày lại) > Phải thu dài hạn khác,Phải thu dài hạn khác,-,50.000.000,-,50.000.000,,50000000.0,,50000000.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,,,,-,,,,
Tổng cộng,Tài sản tài chính khác > Tổng cộng,Tổng cộng,5.110.213.249.158,50.000.000,-,5.110.263.249.158,5110213249158.0,50000000.0,,5110263249158.0
31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Phải trả người bán và phải trả khác,31/12/2014 (Trình bày lại) > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,410.929.485.107,-,-,410.929.485.107,410929485107.0,,,410929485107.0
Chi phí phải trả,31/12/2014 (Trình bày lại) > Chi phí phải trả,Chi phí phải trả,57.064.219.158,-,-,57.064.219.158,57064219158.0,,,57064219158.0
Dự phòng phải trả,31/12/2014 (Trình bày lại) > Dự phòng phải trả,Dự phòng phải trả,217.105.262.533,-,-,217.105.262.533,217105262533.0,,,217105262533.0
Tổng cộng,31/12/2014 (Trình bày lại) > Tổng cộng,Tổng cộng,685.098.966.798,-,-,685.098.966.798,685098966798.0,,,685098966798.0
Chênh lệch thanh khoản thuần,31/12/2014 (Trình bày lại) > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,4.425.114.282.360,50.000.000,-,4.425.164.282.360,4425114282360.0,50000000.0,,4425164282360.0
