row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu_1,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn góp của chủ sở hữu_1,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,162.791.200.000,2.305.307.509,9.586.028.093,7.436.761.863,975.756.536,33.706.276.135,216.801.330.136,162791200000.0,2305307509.0,9586028093.0,7436761863.0,975756536.0,33706276135.0,216801330136.0
Phân loại lại theo Thông tư 200,Phân loại lại theo Thông tư 200,Phân loại lại theo Thông tư 200,-,-,7.436.761.863,(7.436.761.863),-,-,-,,,7436761863.0,-7436761863.0,,,
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,162.791.200.000,2.305.307.509,17.022.789.956,-,975.756.536,33.706.276.135,216.801.330.136,162791200000.0,2305307509.0,17022789956.0,,975756536.0,33706276135.0,216801330136.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,34.247.867.339,34.247.867.339,,,,,,34247867339.0,34247867339.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,-,-,-,,,,,,,
Trích Quỹ Khen thưởng phúc lợi,Trích lập các quỹ > Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,-,-,-,-,-,(5.742.736.029),(5.742.736.029),,,,,,-5742736029.0,-5742736029.0
Chia cổ tức,Trích lập các quỹ > Chia cổ tức,Chia cổ tức,-,-,-,-,-,(23.865.144.656),(23.865.144.656),,,,,,-23865144656.0,-23865144656.0
Chuyên quỹ,Trích lập các quỹ > Chuyên quỹ,Chuyên quỹ,-,-,975.756.536,-,(975.756.536),-,-,,,975756536.0,,-975756536.0,,
Tăng/(giảm) do thoái vốn tại Công ty Cổ phần Bảo bị Đạm Phú Mỹ,Trích lập các quỹ > Tăng/(giảm) do thoái vốn tại Công ty Cổ phần Bảo bị Đạm Phú Mỹ,Tăng/(giảm) do thoái vốn tại Công ty Cổ phần Bảo bị Đạm Phú Mỹ,(20.590.000.000),(2.305.307.509),(2.595.517.588),-,-,(4.554.504.031),(30.045.329.128),-20590000000.0,-2305307509.0,-2595517588.0,,,-4554504031.0,-30045329128.0
Tăng/(giảm) khác,Trích lập các quỹ > Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,-,545.462.000,545.462.000,,,,,,545462000.0,545462000.0
Số dư tại ngày 31/12/2015,Trích lập các quỹ > Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,142.201.200.000,-,15.403.028.904,-,-,34.337.220.758,191.941.449.662,142201200000.0,,15403028904.0,,,34337220758.0,191941449662.0
