row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoai,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ khác thuộc vốn CSH,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoai,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ khác thuộc vốn CSH,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,3.800.000.000.000,977.787.044,21.179.913.858,(2.296.824.120),(264.120.169),2.526.156.314.757,962.866.860.541,1.014.770.873,2.036.381.182.804,210.122.568.769,3800000000000.0,977787044.0,21179913858.0,-2296824120.0,-264120169.0,2526156314757.0,962866860541.0,1014770873.0,2036381182804.0,210122568769.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,1.096.275.840.370,38.182.555.531,,,,,,,,,1096275840370.0,38182555531.0
Trích từ lợi nhuận,Trích từ lợi nhuận,Trích từ lợi nhuận,-,-,-,-,-,3.014.884.509,5.345.687.706,-,(8.360.572.215),-,,,,,,3014884509.0,5345687706.0,,-8360572215.0,
Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(132.748.113.582),(3.490.631.739),,,,,,,,,-132748113582.0,-3490631739.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,-,-,-,(1.519.737.040.000),(28.042.035.007),,,,,,,,,-1519737040000.0,-28042035007.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,1.419.695.143,-,-,263.400.375,(1.419.695.143),-,-,(1.931.466.342),28.872.582,,1419695143.0,,,263400375.0,-1419695143.0,,,-1931466342.0,28872582.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,3.800.000.000.000,2.397.482.187,21.179.913.858,(2.296.824.120),(719.794),2.527.751.504.123,968.212.548.247,1.014.770.873,1.469.879.831.035,216.801.330.136,3800000000000.0,2397482187.0,21179913858.0,-2296824120.0,-719794.0,2527751504123.0,968212548247.0,1014770873.0,1469879831035.0,216801330136.0
Phân loại lại theo Thông tư 200,Phân loại lại theo Thông tư 200,Phân loại lại theo Thông tư 200,-,-,-,-,-,968.212.548.247,(968.212.548.247),-,-,-,,,,,,968212548247.0,-968212548247.0,,,
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,3.800.000.000.000,2.397.482.187,21.179.913.858,(2.296.824.120),(719.794),3.495.964.052.370,-,1.014.770.873,1.469.879.831.035,216.801.330.136,3800000000000.0,2397482187.0,21179913858.0,-2296824120.0,-719794.0,3495964052370.0,,1014770873.0,1469879831035.0,216801330136.0
