row_label_raw,row_label_full,Theo Quyết định 15/2006/QĐ-BTC > Tên chỉ tiêu,Theo Quyết định 15/2006/QĐ-BTC > Mã số,Theo Quyết định 15/2006/QĐ-BTC > Số tiền(VND),Theo Thông tư 200/2014/TT-BTC > Tên chỉ tiêu,Theo Thông tư 200/2014/TT-BTC > Mã số,Thay đổi > Số tiền(VND),numeric__Theo Quyết định 15/2006/QĐ-BTC > Mã số,numeric__Theo Quyết định 15/2006/QĐ-BTC > Số tiền(VND),numeric__Theo Thông tư 200/2014/TT-BTC > Tên chỉ tiêu,numeric__Theo Thông tư 200/2014/TT-BTC > Mã số,numeric__Thay đổi > Số tiền(VND)
BẢNG CẦN ĐỐI KẾ TOÁN,BẢNG CẦN ĐỐI KẾ TOÁN,BẢNG CẦN ĐỐI KẾ TOÁN,,,BẢNG CẦN ĐỐI KẾ TOÁN,,,,,,,
I. Tài sản,I. Tài sản,I. Tài sản,,,I. Tài sản,,,,,,,
1. Các khoản phải thu khác,I. Tài sản > 1. Các khoản phải thu khác,1. Các khoản phải thu khác,135,261.285.756.819,1. Phải thu ngắn hạn khác,136,261.556.944.534 Trình bày lại và đổi mã số,135.0,261285756819.0,,136.0,
2. Tài sản ngắn hạn khác,I. Tài sản > 2. Tài sản ngắn hạn khác,2. Tài sản ngắn hạn khác,158,271.187.715,2. Tài sản ngắn hạn khác,155,- Trình bày lại và đổi mã số,158.0,271187715.0,,155.0,
3. Phải thu dài hạn khác,I. Tài sản > 3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,218,-,3. Phải thu dài hạn khác,216,50.000.000 Trình bày lại và đổi mã số,218.0,,,216.0,
4. Tài sản dài hạn khác,I. Tài sản > 4. Tài sản dài hạn khác,4. Tài sản dài hạn khác,268,50.000.000,4. Tài sản dài hạn khác,,- Trình bày lại và đổi mã số,268.0,50000000.0,,,
II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,,,II. Nguồn vốn,,,,,,,
1. Doanh thu chưa thực hiện,II. Nguồn vốn > 1. Doanh thu chưa thực hiện,1. Doanh thu chưa thực hiện,338,2.853.964.450,1. Doanh thu chưa thực hiện ngắn hạn,318,- Trình bày lại và đổi mã số,338.0,2853964450.0,,318.0,
2. Chi phí phải trả,II. Nguồn vốn > 2. Chi phí phải trả,2. Chi phí phải trả,316,274.169.481.691,2. Chi phí phải trả ngắn hạn,319,57.064.219.158 Trình bày lại và đổi mã số,316.0,274169481691.0,,319.0,
3. Dự phòng phải trả ngắn hạn,II. Nguồn vốn > 3. Dự phòng phải trả ngắn hạn,3. Dự phòng phải trả ngắn hạn,320,-,3. Dự phòng phải trả ngắn hạn,321,217.105.262.533 Trình bày lại và đổi mã số,320.0,,,321.0,
4. Doanh thu chưa thực hiện dài hạn,II. Nguồn vốn > 4. Doanh thu chưa thực hiện dài hạn,4. Doanh thu chưa thực hiện dài hạn,,-,4. Doanh thu chưa thực hiện dài hạn,336,2.853.964.450 Trình bày lại và đổi mã số,,,,336.0,
5. Quỹ đầu tư phát triển,II. Nguồn vốn > 5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,417,2.499.459.725.948,5. Quỹ đầu tư phát triển,418,3.444.814.857.841 Trình bày lại và đổi mã số,417.0,2499459725948.0,,418.0,
