row_label_raw,row_label_full,2015,2015_1,2015_2,2014,2014_1,2014_2,numeric__2015_1,numeric__2015_2,numeric__2014,numeric__2014_1,numeric__2014_2
Bán hàng,Bán hàng,Bán hàng,Mua hàng hóa và dịch vụ,Cổ tức được chia,Bán hàng,Mua hàng hóa và dịch vụ,Cổ tức được chia,,,,,
VND,VND,VND,VND,VND,VND,VND,VND,,,,,
7.864.776.309.866,VND > 7.864.776.309.866,7.864.776.309.866,205.741.637.009,63.659.818.000,6.868.531.289.033,227.208.534.402,77.331.312.000,205741637009.0,63659818000.0,6868531289033.0,227208534402.0,77331312000.0
