row_label_raw,row_label_full,col_0,2015,2014,numeric__2015,numeric__2014
,,,VND,VND,,
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,,
Cổ tức trả Tập đoàn,Tập đoàn Dầu khí Việt Nam > Cổ tức trả Tập đoàn,Cổ tức trả Tập đoàn,932.655.634.657,932.655.634.657,932655634657.0,932655634657.0
Phí Quản lý nộp Tập đoàn,Tập đoàn Dầu khí Việt Nam > Phí Quản lý nộp Tập đoàn,Phí Quản lý nộp Tập đoàn,30.727.444.022,35.062.450.431,30727444022.0,35062450431.0
,,,963.383.078.679,967.718.085.088,963383078679.0,967718085088.0
Bán hàng,Bán hàng,Bán hàng,Bán hàng,Bán hàng,,
Công ty TNHH MTV Phân bón Dầu khí Cà Mau,Bán hàng > Công ty TNHH MTV Phân bón Dầu khí Cà Mau,Công ty TNHH MTV Phân bón Dầu khí Cà Mau,-,1.926.454.572,,1926454572.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Bán hàng > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,2.317.648.228.070,1.937.642.869.453,2317648228070.0,1937642869453.0
Công ty Cổ phần Phân Bón và Hóa Chất Dầu khí Miền Trung,Bán hàng > Công ty Cổ phần Phân Bón và Hóa Chất Dầu khí Miền Trung,Công ty Cổ phần Phân Bón và Hóa Chất Dầu khí Miền Trung,2.111.351.609.229,1.954.386.447.377,2111351609229.0,1954386447377.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Bán hàng > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,1.342.270.675.961,1.059.397.902.858,1342270675961.0,1059397902858.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Bán hàng > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,2.077.481.601.379,1.895.502.068.747,2077481601379.0,1895502068747.0
Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,Bán hàng > Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,16.007.976.000,21.575.580.086,16007976000.0,21575580086.0
Công ty Cổ phần Bao Bì Đạm Phú Mỹ,Bán hàng > Công ty Cổ phần Bao Bì Đạm Phú Mỹ,Công ty Cổ phần Bao Bì Đạm Phú Mỹ,16.219.227,26.420.512,16219227.0,26420512.0
,,,7.864.776.309.866,6.870.457.743.605,7864776309866.0,6870457743605.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,"Mua hàng hóa, dịch vụ > Tổng Công ty Khí Việt Nam - Công ty Cổ phần",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,1.848.830.574.204,3.002.686.898.911,1848830574204.0,3002686898911.0
Công ty Cổ phần PVI,"Mua hàng hóa, dịch vụ > Công ty Cổ phần PVI",Công ty Cổ phần PVI,62.059.552.809,56.522.071.785,62059552809.0,56522071785.0
Công ty Cổ Phần Bao bì Đạm Phú Mỹ,"Mua hàng hóa, dịch vụ > Công ty Cổ Phần Bao bì Đạm Phú Mỹ",Công ty Cổ Phần Bao bì Đạm Phú Mỹ,61.139.765.832,73.784.829.218,61139765832.0,73784829218.0
Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam",Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,82.639.308.271,97.956.471.000,82639308271.0,97956471000.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam (PTSC),"Mua hàng hóa, dịch vụ > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam (PTSC)",Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam (PTSC),102.599.840.772,48.940.141.112,102599840772.0,48940141112.0
