row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2015VND,Giá trị ghi số > 31/12/2014(Trình bày lại)VND,numeric__Giá trị ghi số > 31/12/2015VND,numeric__Giá trị ghi số > 31/12/2014(Trình bày lại)VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.690.048.266.789,5.078.299.954.021,5690048266789.0,5078299954021.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,80.950.000.000,77.119.148.009,80950000000.0,77119148009.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,239.055.851.076,316.356.282.671,239055851076.0,316356282671.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,6.010.054.117.865,5.471.775.384.701,6010054117865.0,5471775384701.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay và nợ thuê tài chính,Công nợ tài chính > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,232.272.305.667,94.646.779.668,232272305667.0,94646779668.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.377.368.345.085,437.208.578.587,1377368345085.0,437208578587.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,57.056.342.544,64.130.128.196,57056342544.0,64130128196.0
Dự phòng phải trả,Công nợ tài chính > Dự phòng phải trả,Dự phòng phải trả,136.735.807.241,217.455.312.628,136735807241.0,217455312628.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,1.803.432.800.537,813.440.799.079,1803432800537.0,813440799079.0
