row_label_raw,row_label_full,col_0,2015 > Số năm,numeric__2015 > Số năm
Quyền sử dụng đất,Quyền sử dụng đất,Quyền sử dụng đất,44 - 50,
"Nhà cửa, vật kiến trúc","Quyền sử dụng đất > Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",25,25.0
