row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,1.637.402.590.773,5.432.191.851.881,126.207.669.681,122.457.969.152,7.359.661.975,7.325.619.743.462,1637402590773.0,5432191851881.0,126207669681.0,122457969152.0,7359661975.0,7325619743462.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,2.438.863.094,30.831.147.247,15.427.127.453,39.716.271.633,-,88.413.409.427,2438863094.0,30831147247.0,15427127453.0,39716271633.0,,88413409427.0
Chuyển từ xây dựng cơ bản đở dang,NGUYÊN GIÁ > Chuyển từ xây dựng cơ bản đở dang,Chuyển từ xây dựng cơ bản đở dang,-,3.782.000.000,-,-,1.460.533.730,5.242.533.730,,3782000000.0,,,1460533730.0,5242533730.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(328.214.510),(2.481.907.208),(3.645.235.006),-,(6.455.356.724),,-328214510.0,-2481907208.0,-3645235006.0,,-6455356724.0
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,779.934.982,731.360.000,(651.806.982),-,859.488.000,,779934982.0,731360000.0,-651806982.0,,859488000.0
Giảm do thoái vốn tại Công ty CP Bao Bì Đạm Phú Mỹ,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty CP Bao Bì Đạm Phú Mỹ,Giảm do thoái vốn tại Công ty CP Bao Bì Đạm Phú Mỹ,(30.565.858.231),(55.884.393.303),(1.400.728.931),(129.478.076),-,(87.980.458.541),-30565858231.0,-55884393303.0,-1400728931.0,-129478076.0,,-87980458541.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.609.275.595.636,5.411.372.326.297,138.483.520.995,157.747.720.721,8.820.195.705,7.325.699.359.354,1609275595636.0,5411372326297.0,138483520995.0,157747720721.0,8820195705.0,7325699359354.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,835.803.982.739,5.195.716.107.958,81.508.071.921,76.657.076.568,2.925.061.015,6.192.610.300.201,835803982739.0,5195716107958.0,81508071921.0,76657076568.0,2925061015.0,6192610300201.0
