row_label_raw,row_label_full,col_0,2015,(Trình bày lại),numeric__2015,numeric__(Trình bày lại)
,,,VND,VND,,
Doanh thu kinh doanh Ure,Doanh thu kinh doanh Ure,Doanh thu kinh doanh Ure,5.848.335.220.380,6.058.201.550.510,5848335220380.0,6058201550510.0
Doanh thu kinh doanh Ure Cà Mau,Doanh thu kinh doanh Ure Cà Mau,Doanh thu kinh doanh Ure Cà Mau,-,11.480.236.000,,11480236000.0
Doanh thu kinh doanh Amoniac,Doanh thu kinh doanh Amoniac,Doanh thu kinh doanh Amoniac,271.418.980.873,181.463.231.525,271418980873.0,181463231525.0
Doanh thu điện,Doanh thu điện,Doanh thu điện,1.608.040.595,1.422.244.336,1608040595.0,1422244336.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,2.274.337.576.580,1.375.295.859.157,2274337576580.0,1375295859157.0
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,8.395.699.818.428,7.627.863.121.528,8395699818428.0,7627863121528.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,,,
Chiết khấu thương mại,Các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,112.817.988.804,121.642.589.279,112817988804.0,121642589279.0
,,,112.817.988.804,121.642.589.279,112817988804.0,121642589279.0
Doanh thu phát sinh trong năm với các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 39),Các khoản giảm trừ doanh thu > Doanh thu phát sinh trong năm với các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 39),Doanh thu phát sinh trong năm với các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 39),7.864.776.309.866,6.870.457.743.605,7864776309866.0,6870457743605.0
