row_label_raw,row_label_full,Chỉ tiêu,Lũy kế từ đầu năm đến cuối năm > 01/01/2015 > VND,Lũy kế từ đầu năm đến cuối năm > Số phải nộp > VND,Lũy kế từ đầu năm đến cuối năm > Số đã nộp > VND,Lũy kế từ đầu năm đến cuối năm > 31/12/2015 > VND,numeric__Lũy kế từ đầu năm đến cuối năm > 01/01/2015 > VND,numeric__Lũy kế từ đầu năm đến cuối năm > Số phải nộp > VND,numeric__Lũy kế từ đầu năm đến cuối năm > Số đã nộp > VND,numeric__Lũy kế từ đầu năm đến cuối năm > 31/12/2015 > VND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,,,,,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(3.152.818.774),-,-,(3.152.818.774),-3152818774.0,,,-3152818774.0
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(1.360.021.965),15.827.935.511,15.446.917.863,(979.004.317),-1360021965.0,15827935511.0,15446917863.0,-979004317.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,(4.512.840.739),15.827.935.511,15.446.917.863,(4.131.823.091),-4512840739.0,15827935511.0,15446917863.0,-4131823091.0
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,,,,,
Thuế GTGT hàng bán nội địa,b) Các khoản phải trả > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,-,1.849.105.976,997.599.066,851.506.910,,1849105976.0,997599066.0,851506910.0
Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,5.753.373.111,5.753.373.111,-,,5753373111.0,5753373111.0,
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,64.603.542.915,64.603.542.915,-,,64603542915.0,64603542915.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,36.266.991.971,273.088.484.232,244.247.300.070,65.108.176.133,36266991971.0,273088484232.0,244247300070.0,65108176133.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.621.798.189,17.964.898.706,16.918.022.482,2.668.674.413,1621798189.0,17964898706.0,16918022482.0,2668674413.0
Thuế tài nguyên,b) Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,30.299.840,345.331.840,346.190.400,29.441.280,30299840.0,345331840.0,346190400.0,29441280.0
Thuế bảo vệ môi trường,b) Các khoản phải trả > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,498.000,49.680.000,43.242.000,6.936.000,498000.0,49680000.0,43242000.0,6936000.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,7.000.000,7.000.000,-,,7000000.0,7000000.0,
Thuế nhà thầu nước ngoài,b) Các khoản phải trả > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,15.091.288.961,15.091.288.961,-,,15091288961.0,15091288961.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,37.919.588.000,378.752.705.741,348.007.559.005,68.664.734.736,37919588000.0,378752705741.0,348007559005.0,68664734736.0
