row_label_raw,row_label_full,CHỈ TIỀU,Mã số,2015,2014(Trình bày lại),numeric__Mã số,numeric__2015,numeric__2014(Trình bày lại)
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(384.390.450.891),(212.149.839.874),17.0,-384390450891.0,-212149839874.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.639.583.787.320,607.602.250.004,20.0,1639583787320.0,607602250004.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(960.351.770.011),(203.886.105.949),21.0,-960351770011.0,-203886105949.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,71.035.909.091,214.216.539,22.0,71035909091.0,214216539.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(10.950.000.000),(5.873.765.094),23.0,-10950000000.0,-5873765094.0
"4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,7.119.148.009,1.663.615.831.634,24.0,7119148009.0,1663615831634.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Tiền chi đầu tư góp vốn vào đơn vị khác,25,-,(29.363.000.000),25.0,,-29363000000.0
6. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu hồi đầu tư vốn vào đơn vị khác,6. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,2.238.561.705,135.900.173.400,26.0,2238561705.0,135900173400.0
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,248.991.636.282,367.559.611.576,27.0,248991636282.0,367559611576.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(641.916.514.924),1.928.166.962.106,30.0,-641916514924.0,1928166962106.0
