row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa,vật kiến trúc",Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__Tổng cộng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,84.498.516.000,230.032.455.192,314.530.971.192,84498516000.0,230032455192.0,314530971192.0
Chuyển từ xây dựng cơ bản dở dang,NGUYÊN GIÁ > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.825.000.000,-,1.825.000.000,1825000000.0,,1825000000.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(24.500.000.000),(34.352.156.792),(58.852.156.792),-24500000000.0,-34352156792.0,-58852156792.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,61.823.516.000,195.680.298.400,257.503.814.400,61823516000.0,195680298400.0,257503814400.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,6.092.502.718,34.248.007.447,40.340.510.165,6092502718.0,34248007447.0,40340510165.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,1.330.844.702,8.855.097.020,10.185.941.722,1330844702.0,8855097020.0,10185941722.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(6.941.500.888),(6.941.500.888),,-6941500888.0,-6941500888.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,7.423.347.420,36.161.603.579,43.584.950.999,7423347420.0,36161603579.0,43584950999.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,54.400.168.580,159.518.694.821,213.918.863.401,54400168580.0,159518694821.0,213918863401.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,78.406.013.282,195.784.447.745,274.190.461.027,78406013282.0,195784447745.0,274190461027.0
