row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốcVND,31/12/2015 > Dự phòngVND,31/12/2015 > Giá trị hợp lýVND,31/12/2014 > Giá gốcVND,31/12/2014 > Dự phòngVND,31/12/2014 > Giá trị hợp lýVND,numeric__31/12/2015 > Giá gốcVND,numeric__31/12/2015 > Dự phòngVND,numeric__31/12/2015 > Giá trị hợp lýVND,numeric__31/12/2014 > Giá gốcVND,numeric__31/12/2014 > Dự phòngVND,numeric__31/12/2014 > Giá trị hợp lýVND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,445.046.800.000,-,514.525.000.000,466.456.800.000,-,-,445046800000.0,,514525000000.0,466456800000.0,,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,75.000.000.000,-,101.250.000.000,75.000.000.000,-,-,75000000000.0,,101250000000.0,75000000000.0,,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,127.500.000.000,-,131.325.000.000,127.500.000.000,-,-,127500000000.0,,131325000000.0,127500000000.0,,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,93.750.000.000,-,171.250.000.000,93.750.000.000,-,-,93750000000.0,,171250000000.0,93750000000.0,,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,90.000.000.000,-,110.700.000.000,90.000.000.000,-,-,90000000000.0,,110700000000.0,90000000000.0,,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,-,-,-,21.410.000.000,-,-,,,,21410000000.0,,
Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,58.796.800.000,-,-,58.796.800.000,-,-,58796800000.0,,,58796800000.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,680.903.000.000,(662.700.000.000),25.483.920.000,662.700.000.000,(448.217.981.815),-,680903000000.0,-662700000000.0,25483920000.0,662700000000.0,-448217981815.0,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,100.000.000.000,(100.000.000.000),-,100.000.000.000,(88.530.185.091),-,100000000000.0,-100000000000.0,,100000000000.0,-88530185091.0,
Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,562.700.000.000,(562.700.000.000),-,562.700.000.000,(359.687.796.724),-,562700000000.0,-562700000000.0,,562700000000.0,-359687796724.0,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,18.203.000.000,-,25.483.920.000,-,-,-,18203000000.0,,25483920000.0,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,20.502.000.000,(335.870.286),-,20.502.000.000,(335.870.286),-,20502000000.0,-335870286.0,,20502000000.0,-335870286.0,
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,(335.870.286),-,3.600.000.000,(335.870.286),-,3600000000.0,-335870286.0,,3600000000.0,-335870286.0,
Công ty Cổ phần Chế biển Thủy sản Út Xi,Công ty Cổ phần Chế biển Thủy sản Út Xi,Công ty Cổ phần Chế biển Thủy sản Út Xi,16.902.000.000,-,-,16.902.000.000,-,-,16902000000.0,,,16902000000.0,,
