row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2015,MAU SỐ B 01-DN Đơn vị: VND31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__MAU SỐ B 01-DN Đơn vị: VND31/12/2014(Trình bày lại)
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,2.104.051.363.140,943.975.122.967,300.0,,2104051363140.0,943975122967.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,1.723.468.789.795,889.320.636.150,310.0,,1723468789795.0,889320636150.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,18,344.290.211.658,366.222.768.585,311.0,18.0,344290211658.0,366222768585.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,19,45.384.202.871,60.340.273.284,312.0,19.0,45384202871.0,60340273284.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,20,68.664.734.736,37.919.588.000,313.0,20.0,68664734736.0,37919588000.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,99.565.238.768,59.936.083.892,314.0,,99565238768.0,59936083892.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,21,53.486.372.501,57.064.219.158,315.0,21.0,53486372501.0,57064219158.0
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,22,989.800.703.449,45.576.760.104,319.0,22.0,989800703449.0,45576760104.0
7. Dự phòng phải trả ngắn hạn,7. Dự phòng phải trả ngắn hạn,7. Dự phòng phải trả ngắn hạn,321,23,39.680.210.527,217.105.262.533,321.0,23.0,39680210527.0,217105262533.0
"8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi",322,,82.597.115.285,45.155.680.594,322.0,,82597115285.0,45155680594.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,380.582.573.345,54.654.486.817,330.0,,380582573345.0,54654486817.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,336,,2.182.443.406,2.853.964.450,336.0,,2182443406.0,2853964450.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,337,22,600.000.000,-,337.0,22.0,600000000.0,
3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,338,24,226.950.078.667,-,338.0,24.0,226950078667.0,
4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,342,23,96.551.724.140,-,342.0,23.0,96551724140.0,
5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,343,,54.298.327.132,51.800.522.367,343.0,,54298327132.0,51800522367.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,8.368.170.464.619,8.694.407.736.855,400.0,,8368170464619.0,8694407736855.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,25,8.368.170.464.619,8.694.407.736.855,410.0,25.0,8368170464619.0,8694407736855.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,3.800.000.000.000,3.800.000.000.000,411.0,,3800000000000.0,3800000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.800.000.000.000,3.800.000.000.000,,,3800000000000.0,3800000000000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,21.179.913.858,21.179.913.858,412.0,,21179913858.0,21179913858.0
3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,415,,(2.296.824.120),(2.296.824.120),415.0,,-2296824120.0,-2296824120.0
4. Chênh lệch tỷ giá hối đoái,4. Chênh lệch tỷ giá hối đoái,4. Chênh lệch tỷ giá hối đoái,417,,-,(719.794),417.0,,,-719794.0
5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,418,,3.444.814.857.841,3.444.814.857.841,418.0,,3444814857841.0,3444814857841.0
6. Lợi nhuận sau thuế chưa phân phối,6. Lợi nhuận sau thuế chưa phân phối,6. Lợi nhuận sau thuế chưa phân phối,421,,1.104.472.517.040,1.430.710.509.070,421.0,,1104472517040.0,1430710509070.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,806.260.241.770,1.007.866.370.295,,,806260241770.0,1007866370295.0
