row_label_raw,row_label_full,col_0,Kinh doanh phân bónvà hóa chấtVND,Sản xuất bao bìVND,Xây dựng công trìnhvà cung cấp dịch vụkhácVND,Điều chínhhợp nhấtVND,Tổng cộngVND,numeric__Kinh doanh phân bónvà hóa chấtVND,numeric__Sản xuất bao bìVND,numeric__Xây dựng công trìnhvà cung cấp dịch vụkhácVND,numeric__Điều chínhhợp nhấtVND,numeric__Tổng cộngVND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,22.742.872.324.003,228.249.060.738,187.532.521.921,(13.307.018.084.629),9.851.635.822.033,22742872324003.0,228249060738.0,187532521921.0,-13307018084629.0,9851635822033.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,199.506.966.364,-,-,(112.817.988.804),86.688.977.560,199506966364.0,,,-112817988804.0,86688977560.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,22.543.365.357.639,228.249.060.738,187.532.521.921,(13.194.200.095.825),9.764.946.844.473,22543365357639.0,228249060738.0,187532521921.0,-13194200095825.0,9764946844473.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,19.435.932.744.181,197.396.366.045,160.637.049.282,(13.181.542.161.705),6.612.423.997.803,19435932744181.0,197396366045.0,160637049282.0,-13181542161705.0,6612423997803.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,759.597.248.907,5.559.833.015,1.314.276.957,(15.485.719.042),750.985.639.837,759597248907.0,5559833015.0,1314276957.0,-15485719042.0,750985639837.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,583.903.457.793,14.198.903.057,17.434.068.806,(18.460.496.445),597.075.933.211,583903457793.0,14198903057.0,17434068806.0,-18460496445.0,597075933211.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,1.763.931.906.758,11.093.958.621,8.147.126.876,21.288.281.367,1.804.461.273.622,1763931906758.0,11093958621.0,8147126876.0,21288281367.0,1804461273622.0
Phần (lỗ) trong công ty liên kết,Phần (lỗ) trong công ty liên kết,Phần (lỗ) trong công ty liên kết,,,,,(198.273.817.160),,,,,-198273817160.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,256.561.206.512,,,,,256561206512.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,7.070.545.699,,,,,7070545699.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,24.594.733.532,,,,,24594733532.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,,1.880.272.850.807,,,,,1880272850807.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,309.160.303.969,,,,,309160303969.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,48.651.197.780,,,,,48651197780.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,1.522.461.349.058,,,,,1522461349058.0
