row_label_raw,row_label_full,col_0,Năm năm (Số năm),numeric__Năm năm (Số năm)
Phần mềm máy tính,Phần mềm máy tính,Phần mềm máy tính,03 - 08,
Tài sản cố định vô hình khác,Tài sản cố định vô hình khác,Tài sản cố định vô hình khác,02 - 20,
