row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cu thể,Tổng cộng,numeric__Dự phòng chung,numeric__Dự phòng cu thể,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,(65.088),(123.105),(188.193),-65088.0,-123105.0,-188193.0
Dự phòng hoàn nhập/(trích lập) trong năm (Thuyết minh số 28),Dự phòng hoàn nhập/(trích lập) trong năm (Thuyết minh số 28),Dự phòng hoàn nhập/(trích lập) trong năm (Thuyết minh số 28),1.003,(5.768),(4.765),1003.0,-5768.0,-4765.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,(64.085),(128.873),(192.958),-64085.0,-128873.0,-192958.0
