row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,4,3.872,11.282,,4.0,3872.0,11282.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (NHNN),5,5.398,1.024,,5.0,5398.0,1024.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,6,3.209.032,2.815.863,,6.0,3209032.0,2815863.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,1.471.594,1.269.683,,,1471594.0,1269683.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,1.737.438,1.546.180,,,1737438.0,1546180.0
IV.,A. > IV.,IV.,Cho vay khách hàng,,9.719.246,8.656.663,,,9719246.0,8656663.0
1.,A. > 1.,1.,Cho vay khách hàng,7,9.874.143,8.849.621,,7.0,9874143.0,8849621.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,8,(154.897),(192.958),,8.0,-154897.0,-192958.0
V.,A. > V.,V.,Chứng khoán đầu tư,9,6.982.557,7.054.941,,9.0,6982557.0,7054941.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,6.861.279,6.907.942,,,6861279.0,6907942.0
2.,A. > 2.,2.,Chứng khoán đầu tư nằm giữ đến ngày đáo hạn,,315.252,400.464,,,315252.0,400464.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(193.974),(253.465),,,-193974.0,-253465.0
VI.,A. > VI.,VI.,"Góp vốn, đầu tư dài hạn",10,479.443,110.952,,10.0,479443.0,110952.0
1.,A. > 1.,1.,Đầu tư dài hạn khác,,480.022,110.952,,,480022.0,110952.0
2.,A. > 2.,2.,Dự phòng giảm giá đầu tư dài hạn,,(579),,,,-579.0,
VII.,A. > VII.,VII.,Tài sản cố định,,91.410,81.580,,,91410.0,81580.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,11,43.104,49.701,,11.0,43104.0,49701.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,99.671,96.184,,,99671.0,96184.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(56.567),(46.483),,,-56567.0,-46483.0
2.,A. > 2.,2.,Tài sản cố định vô hình,12,48.306,31.879,,12.0,48306.0,31879.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,71.453,48.596,,,71453.0,48596.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(23.147),(16.717),,,-23147.0,-16717.0
VIII.,A. > VIII.,VIII.,Tài sản Có khác,13,1.632.854,1.324.703,,13.0,1632854.0,1324703.0
1.,A. > 1.,1.,Các khoản phải thu,,1.117.376,1.020.300,,,1117376.0,1020300.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,826.096,611.436,,,826096.0,611436.0
3.,A. > 3.,3.,Tài sản Có khác,,60.689,19.925,,,60689.0,19925.0
4.,A. > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(371.307),(326.958),,,-371307.0,-326958.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,22.123.812,20.057.008,,,22123812.0,20057008.0
