row_label_raw,row_label_full,Kinh doanh,Giữ đến ngày đáo hạn,Cho vay và các khoản phải thu,Sẵn sàng để bán,Tổng cộng,numeric__Giữ đến ngày đáo hạn,numeric__Cho vay và các khoản phải thu,numeric__Sẵn sàng để bán,numeric__Tổng cộng
Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
3.872,Triệu VND > 3.872,3.872,-,-,-,3.872,,,,3872.0
-,Triệu VND > -,-,-,5.398,-,5.398,,5398.0,,5398.0
-,Triệu VND > -,-,-,3.209.032,-,3.209.032,,3209032.0,,3209032.0
-,Triệu VND > -,-,-,9.874.143,-,9.874.143,,9874143.0,,9874143.0
-,Triệu VND > -,-,315.252,-,6.861.279,7.176.531,315252.0,,6861279.0,7176531.0
-,Triệu VND > -,-,-,-,480.022,480.022,,,480022.0,480022.0
-,Triệu VND > -,-,-,1.117.376,-,1.117.376,,1117376.0,,1117376.0
-,Triệu VND > -,-,-,826.096,-,826.096,,826096.0,,826096.0
3.872,Triệu VND > 3.872,3.872,315.252,15.032.045,7.341.301,22.692.470,315252.0,15032045.0,7341301.0,22692470.0
