row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vậntài,"Thiết bị,dụng cụquản lý",Tài sản cốđịnh hữuhình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vậntài,"numeric__Thiết bị,dụng cụquản lý",numeric__Tài sản cốđịnh hữuhình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,8.280,41.318,23.891,21.019,1.676,96.184,8280.0,41318.0,23891.0,21019.0,1676.0,96184.0
Mua sắm trongnăm,Nguyên giá > Mua sắm trongnăm,Mua sắm trongnăm,-,412,-,3.396,-,3.808,,412.0,,3396.0,,3808.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,(321),-,(321),,,,-321.0,,-321.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,8.280,41.730,23.891,24.094,1.676,99.671,8280.0,41730.0,23891.0,24094.0,1676.0,99671.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,(800),(13.934),(19.643),(10.856),(1.250),(46.483),-800.0,-13934.0,-19643.0,-10856.0,-1250.0,-46483.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(331),(4.790),(1.498),(3.673),-,(10.292),-331.0,-4790.0,-1498.0,-3673.0,,-10292.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,-,208,-,208,,,,208.0,,208.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,(1.131),(18.724),(21.141),(14.321),(1.250),(56.567),-1131.0,-18724.0,-21141.0,-14321.0,-1250.0,-56567.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.480,27.384,4.248,10.163,426,49.701,7480.0,27384.0,4248.0,10163.0,426.0,49701.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,7.149,23.006,2.750,9.773,426,43.104,7149.0,23006.0,2750.0,9773.0,426.0,43104.0
