row_label_raw,row_label_full,col_0,Nam Nam (Số năm),numeric__Nam Nam (Số năm)
Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,25 - 50,
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,03 - 08,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,06 - 10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,03 - 05,
Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,04 - 25,
