row_label_raw,row_label_full,col_0,Dự phònggiảm giá,Dự phòngchung,Dự phòngcu thể,Tổng công,numeric__Dự phònggiảm giá,numeric__Dự phòngchung,numeric__Dự phòngcu thể,numeric__Tổng công
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,(62.206),(38.925),-,(101.131),-62206.0,-38925.0,,-101131.0
Hoàn nhập dự phòng trong năm(Thuyết minh số 24),Hoàn nhập dự phòng trong năm(Thuyết minh số 24),Hoàn nhập dự phòng trong năm(Thuyết minh số 24),34.756,5.145,-,39.901,34756.0,5145.0,,39901.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,(27.450),(33.780),-,(61.230),-27450.0,-33780.0,,-61230.0
,,,Dự phònggiảm giá,Dự phòngchung,Dự phòngcu thể,Tổng công,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,(38.427),(27.749),-,(66.176),-38427.0,-27749.0,,-66176.0
(Trích lập) dự phòng trong năm(Thuyết minh số 24),(Trích lập) dự phòng trong năm(Thuyết minh số 24),(Trích lập) dự phòng trong năm(Thuyết minh số 24),(5.054),(11.176),-,(16.230),-5054.0,-11176.0,,-16230.0
Phân loại lại,Phân loại lại,Phân loại lại,(18.725),-,-,(18.725),-18725.0,,,-18725.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,(62.206),(38.925),-,(101.131),-62206.0,-38925.0,,-101131.0
