row_label_raw,row_label_full,col_0,Quyền sử dụng đất vô thời hạn,Phần mềm máy tính,TSCĐ vô hình khác,Tổng,numeric__Quyền sử dụng đất vô thời hạn,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,18.244,30.102,250,48.596,18244.0,30102.0,250.0,48596.0
Mua sầm trong năm,Nguyên giá > Mua sầm trong năm,Mua sầm trong năm,-,22.857,-,22.857,,22857.0,,22857.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,18.244,52.959,250,71.453,18244.0,52959.0,250.0,71453.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,-,(16.606),(111),(16.717),,-16606.0,-111.0,-16717.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,(6.424),(6),(6.430),,-6424.0,-6.0,-6430.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,-,(23.030),(117),(23.147),,-23030.0,-117.0,-23147.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,18.244,13.496,139,31.879,18244.0,13496.0,139.0,31879.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,18.244,29.929,133,48.306,18244.0,29929.0,133.0,48306.0
