row_label_raw,row_label_full,Ông Bùi Xuân Dũng > Ông Nguyễn Hoàng Hải > Ông Lý Mạnh Hà,"Tổng Giám đốc (Miễn nhiệm từ ngày 01 tháng 12 năm 2019) > Tổng Giám đốc (Quyền Tổng Giám đốc từ ngày 01 tháng 12 năm 2019 đến 05 tháng 01 năm 2020, bổ nhiệm từ ngày 06 tháng 01 năm 2020) > Phó Tổng Giám đốc (Miễn nhiệm từ ngày 15 tháng 01 năm 2020)","numeric__Tổng Giám đốc (Miễn nhiệm từ ngày 01 tháng 12 năm 2019) > Tổng Giám đốc (Quyền Tổng Giám đốc từ ngày 01 tháng 12 năm 2019 đến 05 tháng 01 năm 2020, bổ nhiệm từ ngày 06 tháng 01 năm 2020) > Phó Tổng Giám đốc (Miễn nhiệm từ ngày 15 tháng 01 năm 2020)"
Ông Hoàng Mạnh Hải,Ông Hoàng Mạnh Hải,Ông Hoàng Mạnh Hải,Phó Tổng Giám đốc,
Ông Lê Anh Tuân,Ông Lê Anh Tuân,Ông Lê Anh Tuân,Phó Tổng Giám đốc,
