row_label_raw,row_label_full,col_0,Giá trị ghi số (Không bao gồm dự phòng) > Số cuối năm,Giá trị ghi số (Không bao gồm dự phòng) > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi số (Không bao gồm dự phòng) > Số cuối năm,numeric__Giá trị ghi số (Không bao gồm dự phòng) > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền mặt,Tài sản tài chính > Tiền mặt,Tiền mặt,3.872,11.282,3.872,11.282,3872.0,11282.0,3872.0,11282.0
Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tài sản tài chính > Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tiền gửi tại Ngân hàng Nhà nước (NHNN),5.398,1.024,5.398,1.024,5398.0,1024.0,5398.0,1024.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,3.209.032,2.815.863,(*),(*),3209032.0,2815863.0,,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,9.874.143,8.849.621,(*),(*),9874143.0,8849621.0,,
Chứng khoán đầu tư - Chứng khoán nợ,Tài sản tài chính > Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,7.176.531,7.308.406,(*),(*),7176531.0,7308406.0,,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,480.022,110.952,(*),(*),480022.0,110952.0,,
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,1.117.376,1.020.300,(*),(*),1117376.0,1020300.0,,
"Các khoản lãi, phí phải thu","Tài sản tài chính > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",826.096,611.436,(*),(*),826096.0,611436.0,,
,,,22.692.470,20.728.884,,,22692470.0,20728884.0,,
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Tiền gửi và vay các TCTD khác,Công nợ tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,9.277.288,6.890.380,(*),(*),9277288.0,6890380.0,,
Tiền gửi của khách hàng,Công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,4.642.451,3.324.328,(*),(*),4642451.0,3324328.0,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",4.358.543,6.286.876,(*),(*),4358543.0,6286876.0,,
"Các khoản lãi, phí phải trả","Công nợ tài chính > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",250.132,215.107,(*),(*),250132.0,215107.0,,
Các khoản phải trả và công nợ khác,Công nợ tài chính > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,91.311,82.907,(*),(*),91311.0,82907.0,,
,,,18.629.725,16.799.598,,,18629725.0,16799598.0,,
