row_label_raw,row_label_full,col_0,Vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,(686.640),(1.221.066.442),282.410.699,(3.341.007.157),4.994.329.930,9274679470.0,-686640.0,-1221066442.0,282410699.0,-3341007157.0,4994329930.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.663.970.953,1.663.970.953,,,,,1663970953.0,1663970953.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,(304.686.476),-,-,(304.686.476),,,-304686476.0,,,-304686476.0
Giao dịch với cổ đông không kiểm soát,Năm trước > Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,7.155.936,7.155.936,,,,,7155936.0,7155936.0
Thanh lý công ty con,Năm trước > Thanh lý công ty con,Thanh lý công ty con,-,-,-,(2.515.396),2.245.560,(269.836),,,,-2515396.0,2245560.0,-269836.0
"Chi thù lao HĐQT, BKS và Thư ký","Năm trước > Chi thù lao HĐQT, BKS và Thư ký","Chi thù lao HĐQT, BKS và Thư ký",-,-,-,-,(1.536.000),(1.536.000),,,,,-1536000.0,-1536000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,(686.640),(1.525.752.918),279.895.303,(1.669.170.708),6.358.964.507,9274679470.0,-686640.0,-1525752918.0,279895303.0,-1669170708.0,6358964507.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,(686.640),(1.525.752.918),279.895.303,(1.669.170.708),6.358.964.507,9274679470.0,-686640.0,-1525752918.0,279895303.0,-1669170708.0,6358964507.0
Tăng vốn trong năm (*),Năm nay > Tăng vốn trong năm (*),Tăng vốn trong năm (*),1.300.000.000,-,-,-,-,1.300.000.000,1300000000.0,,,,,1300000000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.013.433.083,1.013.433.083,,,,,1013433083.0,1013433083.0
Hoàn nhập quỹ đầu tư phát triển (**),Năm nay > Hoàn nhập quỹ đầu tư phát triển (**),Hoàn nhập quỹ đầu tư phát triển (**),-,-,-,(279.895.303),279.895.303,-,,,,-279895303.0,279895303.0,
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,118.666.428,-,-,118.666.428,,,118666428.0,,,118666428.0
Giao dịch với cổ đông không kiểm soát,Năm nay > Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,(43.745.749),(43.745.749),,,,,-43745749.0,-43745749.0
"Chi thù lao HĐQT, BKS và Thư ký","Năm nay > Chi thù lao HĐQT, BKS và Thư ký","Chi thù lao HĐQT, BKS và Thư ký",-,-,-,-,(3.072.000),(3.072.000),,,,,-3072000.0,-3072000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,10.574.679.470,(686.640),(1.407.086.490),-,(422.660.071),8.744.246.269,10574679470.0,-686640.0,-1407086490.0,,-422660071.0,8744246269.0
